Div,Form,Spreadsheet,#,Slug,Done,Checked,Embed Standings,Display Standings,Promotion Scheme,To copy to website
A1,https://docs.google.com/forms/d/e/1FAIpQLSdjT5uUKalPSZeeBDShiXunAjtHsX6L44NIr6A5Hb8AyZJn4A/viewform,https://docs.google.com/spreadsheets/d/1rqMAVOP7OlkdyUWcA3Wf1JXZHpH099GH8Zz0AjrfoXM,6,s76/a1,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRkjU_qYxITo-S2loOGDBHsrvgfpMfuQ8eyzpXvHx5Jh5jQJaGdDec1VWvg5ck_eosgYtXCDQTQS_OQ/pubhtml?gid=562825224&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vRkjU_qYxITo-S2loOGDBHsrvgfpMfuQ8eyzpXvHx5Jh5jQJaGdDec1VWvg5ck_eosgYtXCDQTQS_OQ/pubhtml,TRUE,"<div id=""A1"" class=""current-standings filterDiv divA""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRkjU_qYxITo-S2loOGDBHsrvgfpMfuQ8eyzpXvHx5Jh5jQJaGdDec1VWvg5ck_eosgYtXCDQTQS_OQ/pubhtml?gid=562825224&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
B1,https://docs.google.com/forms/d/e/1FAIpQLScgqtcDG5lLT1N_BJr6L6OAOmB5dYn0Ts_qtpGTh5ESwXEtCw/viewform,https://docs.google.com/spreadsheets/d/1FEW7zqGLoyeKXUtZEUyr7uhKEWeofjArxN6X18Lzbes,6,s76/b1,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQBFjel-5lENx7l8ja6lYI3k-SWiXCHsdTe6wNfVwseDHfiBTJ_CTBp0QELsqkL-UbW29iUB2rZjFg2/pubhtml?gid=1861728654&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vQBFjel-5lENx7l8ja6lYI3k-SWiXCHsdTe6wNfVwseDHfiBTJ_CTBp0QELsqkL-UbW29iUB2rZjFg2/pubhtml,TRUE,"<div id=""B1"" class=""current-standings filterDiv divB""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQBFjel-5lENx7l8ja6lYI3k-SWiXCHsdTe6wNfVwseDHfiBTJ_CTBp0QELsqkL-UbW29iUB2rZjFg2/pubhtml?gid=1861728654&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
B2,https://docs.google.com/forms/d/e/1FAIpQLSfZwcF2D1k1EP1HrRF-h6epBHjQeB506J5fvD4V21gI6CRq_w/viewform,https://docs.google.com/spreadsheets/d/1wap6_5S1496ElUSETLIFznfj8sexLoKD4XalmUMtJU4,6,s76/b2,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTeKchTChhzR3lBk8IdiGMK9nh_FX2CQEjP01RJnK4CEEFQ25Xb_Qh1-Kbe-sOb5EzZK_ikrUO8jhkU/pubhtml?gid=286085936&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vTeKchTChhzR3lBk8IdiGMK9nh_FX2CQEjP01RJnK4CEEFQ25Xb_Qh1-Kbe-sOb5EzZK_ikrUO8jhkU/pubhtml,TRUE,"<div id=""B2"" class=""current-standings filterDiv divB""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTeKchTChhzR3lBk8IdiGMK9nh_FX2CQEjP01RJnK4CEEFQ25Xb_Qh1-Kbe-sOb5EzZK_ikrUO8jhkU/pubhtml?gid=286085936&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
C1,https://docs.google.com/forms/d/e/1FAIpQLSeUOXSgM6LX-czDgx_jGu2IaHgYK5GiBXRXylBP9Os03WJ0Hw/viewform,https://docs.google.com/spreadsheets/d/1JGgxTqiZskACkcJTF5I9c1BFyYvWnSie-8O-OtqC4wc,6,s76/c1,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSRi3gq3h0PLHD3DJ8hP3U8XhhscBrrbVTumj9IxG0XLFZZxMZJLlZTrNHT9oJx1LSrK8eSXMGjApm2/pubhtml?gid=461184532&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vSRi3gq3h0PLHD3DJ8hP3U8XhhscBrrbVTumj9IxG0XLFZZxMZJLlZTrNHT9oJx1LSrK8eSXMGjApm2/pubhtml,TRUE,"<div id=""C1"" class=""current-standings filterDiv divC""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSRi3gq3h0PLHD3DJ8hP3U8XhhscBrrbVTumj9IxG0XLFZZxMZJLlZTrNHT9oJx1LSrK8eSXMGjApm2/pubhtml?gid=461184532&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
C2,https://docs.google.com/forms/d/e/1FAIpQLScqSylMfhCgdFPgRJU-uVE8sWdAo_cfWo2YXtkhcBPNfQ-PWQ/viewform,https://docs.google.com/spreadsheets/d/1HePUuARvSPvYRkXIliiObfHkY1OiESs4baE0lCyyerc,6,s76/c2,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQGM3JC6Wfb6_TexLzfcTvQfoowqmy5lX5ExfRp80ZmiWqt9CnSWyRWsmbpgss2pN8H-1KgcsbdhYS9/pubhtml?gid=115177493&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vQGM3JC6Wfb6_TexLzfcTvQfoowqmy5lX5ExfRp80ZmiWqt9CnSWyRWsmbpgss2pN8H-1KgcsbdhYS9/pubhtml,TRUE,"<div id=""C2"" class=""current-standings filterDiv divC""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQGM3JC6Wfb6_TexLzfcTvQfoowqmy5lX5ExfRp80ZmiWqt9CnSWyRWsmbpgss2pN8H-1KgcsbdhYS9/pubhtml?gid=115177493&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
C3,https://docs.google.com/forms/d/e/1FAIpQLSfJCzS2PkABVjzRhRr2XE8EXTMfsbBLKsVK-L0MTbxUyjNCsQ/viewform,https://docs.google.com/spreadsheets/d/1rDxxUnoHUTAsQZmGkanJtJEN7lmhq5Nmi6nS7togfgk,6,s76/c3,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSMethrD2T_qgIN6iQG4xZgXOYZAfZAR0te7EwEMgYCNldcmx6YfMxf5gOq1-YgetwefW-gDHcR0-H3/pubhtml?gid=599414299&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vSMethrD2T_qgIN6iQG4xZgXOYZAfZAR0te7EwEMgYCNldcmx6YfMxf5gOq1-YgetwefW-gDHcR0-H3/pubhtml,TRUE,"<div id=""C3"" class=""current-standings filterDiv divC""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSMethrD2T_qgIN6iQG4xZgXOYZAfZAR0te7EwEMgYCNldcmx6YfMxf5gOq1-YgetwefW-gDHcR0-H3/pubhtml?gid=599414299&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
C4,https://docs.google.com/forms/d/e/1FAIpQLScc7zhBcOdSa-5A3l57hZpyN2yW5JEZxcD_C6ggk5w0vPuqMA/viewform,https://docs.google.com/spreadsheets/d/1KALRXpnmkgHu63sK415VOByJPX1E8HRmz1bFA-9QpLE,6,s76/c4,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQ-lYA0pZsBJKbbEtuPS-lNvPkXIsq7tRdRLDpqjyUNSXKU_I2MTzk9rEnr5a6AwiUK4XCo79DA2FU_/pubhtml?gid=1509069676&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vQ-lYA0pZsBJKbbEtuPS-lNvPkXIsq7tRdRLDpqjyUNSXKU_I2MTzk9rEnr5a6AwiUK4XCo79DA2FU_/pubhtml,TRUE,"<div id=""C4"" class=""current-standings filterDiv divC""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQ-lYA0pZsBJKbbEtuPS-lNvPkXIsq7tRdRLDpqjyUNSXKU_I2MTzk9rEnr5a6AwiUK4XCo79DA2FU_/pubhtml?gid=1509069676&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
D1,https://docs.google.com/forms/d/e/1FAIpQLScUo_ItMLu-jj7AgDvNF1F1Kk8FpzEs8SOjpZQLwL9TgTOGzA/viewform,https://docs.google.com/spreadsheets/d/1f997MhE_R0y2G_ruZYBOFh49p3FaMx-iPPAM68eBuU4,6,s76/d1,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQtCEINL7e2dYRVV-NcbvIAAmvPOcq8DPCtjZlCsOC-zMEeaF2YIIypX3mHfkjZI_60XHrvAX-zZYN2/pubhtml?gid=298584180&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vQtCEINL7e2dYRVV-NcbvIAAmvPOcq8DPCtjZlCsOC-zMEeaF2YIIypX3mHfkjZI_60XHrvAX-zZYN2/pubhtml,TRUE,"<div id=""D1"" class=""current-standings filterDiv divD""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQtCEINL7e2dYRVV-NcbvIAAmvPOcq8DPCtjZlCsOC-zMEeaF2YIIypX3mHfkjZI_60XHrvAX-zZYN2/pubhtml?gid=298584180&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
D2,https://docs.google.com/forms/d/e/1FAIpQLScgmDK4XbxUKBQIx3CysLSdrVQLt9mHtyi1Gf3N_NuhGrhtKQ/viewform,https://docs.google.com/spreadsheets/d/1EBmammXWZOwxEKE-J5ey5wK5czp191UgY2tgXpLDZ4s,6,s76/d2,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vS_r475o_Hnc85P5AWEyf2ftKiHg2O9-26yaC_mC2OIu8VGL9hnp43a1cGRF7mmuC7mun_rbeBVdSDL/pubhtml?gid=1494799338&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vS_r475o_Hnc85P5AWEyf2ftKiHg2O9-26yaC_mC2OIu8VGL9hnp43a1cGRF7mmuC7mun_rbeBVdSDL/pubhtml,TRUE,"<div id=""D2"" class=""current-standings filterDiv divD""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vS_r475o_Hnc85P5AWEyf2ftKiHg2O9-26yaC_mC2OIu8VGL9hnp43a1cGRF7mmuC7mun_rbeBVdSDL/pubhtml?gid=1494799338&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
D3,https://docs.google.com/forms/d/e/1FAIpQLSfMPyQN4KYlccbQNAjnVVp_n-X_FNHWrPr8GoaYMzrdunoncw/viewform,https://docs.google.com/spreadsheets/d/1YKzJ9VCw8OCRVHMf6KCWrm6F-eFAISwmxpY-CSu5TwM,6,s76/d3,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQMWS4UXkMlMt9lFUrUNTq6mtctQ_cXlPmHklPieZlH1g08p9CNSwAXFG4vRl8FSWDfpfFnYn7JCPY4/pubhtml?gid=165015905&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vQMWS4UXkMlMt9lFUrUNTq6mtctQ_cXlPmHklPieZlH1g08p9CNSwAXFG4vRl8FSWDfpfFnYn7JCPY4/pubhtml,TRUE,"<div id=""D3"" class=""current-standings filterDiv divD""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQMWS4UXkMlMt9lFUrUNTq6mtctQ_cXlPmHklPieZlH1g08p9CNSwAXFG4vRl8FSWDfpfFnYn7JCPY4/pubhtml?gid=165015905&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
