Div,Form,Spreadsheet,#,Slug,Done,Checked,Embed Standings,Display Standings,Promotion Scheme,To copy to website
A1,https://docs.google.com/forms/d/e/1FAIpQLSfDvJsEHPFBXuqVZN-qM1P4A-VhKZUcuXomMqFtxWGnfwUHUQ/viewform,https://docs.google.com/spreadsheets/d/19Rm-Xxue2b5LksAQmO_VoIuQ2ZN42pAhg6GfJTqioO0,6,s60/a1,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRMFJl9fF0vIa5y9U3-CK4i0ANviPLWFiXWMtQ-_3MdJRELyhPcwUhV1CSCCTllSuAnNnNnSzHGL806/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vRMFJl9fF0vIa5y9U3-CK4i0ANviPLWFiXWMtQ-_3MdJRELyhPcwUhV1CSCCTllSuAnNnNnSzHGL806/pubhtml,TRUE,"<div id=""A1"" class=""current-standings filterDiv divA""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRMFJl9fF0vIa5y9U3-CK4i0ANviPLWFiXWMtQ-_3MdJRELyhPcwUhV1CSCCTllSuAnNnNnSzHGL806/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
B1,https://docs.google.com/forms/d/e/1FAIpQLSdzgTPuLaXLi3z9EYIeWRSpDxea4dALL_oOsy2Vy_v3mRvdaQ/viewform,https://docs.google.com/spreadsheets/d/1OPl1s34QPK6IljwbMDBG7kLFCDlapYaZftxphjcf-8Y,6,s60/b1,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSAArQbjM7mooMMuAYKAPEt0qekOmR_TBcETmAWHXdZ_oRddTF2mICOYtcDoqVi5LqYQVbs58Oi6OmD/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vSAArQbjM7mooMMuAYKAPEt0qekOmR_TBcETmAWHXdZ_oRddTF2mICOYtcDoqVi5LqYQVbs58Oi6OmD/pubhtml,TRUE,"<div id=""B1"" class=""current-standings filterDiv divB""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSAArQbjM7mooMMuAYKAPEt0qekOmR_TBcETmAWHXdZ_oRddTF2mICOYtcDoqVi5LqYQVbs58Oi6OmD/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
B2,https://docs.google.com/forms/d/e/1FAIpQLSdNK7h3bnnMdcwP45mAiwWUC6UISfmYHFjoI2vsj0XeqjHm9A/viewform,https://docs.google.com/spreadsheets/d/11VipxlQklLtqTS7f6NKPKaEJqXOd2Muz3Tz4vbnG9UQ,6,s60/b2,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRcGV3jc5M73onZkfPTamJ7qKEWbl1bNEauKaMXohLdDJ-M2ty8aZ9z16v3J7eZd7YnPMEEsGosrywQ/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vRcGV3jc5M73onZkfPTamJ7qKEWbl1bNEauKaMXohLdDJ-M2ty8aZ9z16v3J7eZd7YnPMEEsGosrywQ/pubhtml,TRUE,"<div id=""B2"" class=""current-standings filterDiv divB""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRcGV3jc5M73onZkfPTamJ7qKEWbl1bNEauKaMXohLdDJ-M2ty8aZ9z16v3J7eZd7YnPMEEsGosrywQ/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
C1,https://docs.google.com/forms/d/e/1FAIpQLScEmsbfpc2keC41xo5bMyyforj8hCqAGlqWdHUgtGclJmtT-g/viewform,https://docs.google.com/spreadsheets/d/1MLCAsUQG_wMemEZadiTvp10p4oeMbCC52PRsrMFahlc,6,s60/c1,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRp5z9rb0STPVOYJCJxnvy2ip-u1f0khGEmLZ4R08XAMwK5tT-PUIqhrpeYO3mQ9g9beXFX7Via_ckA/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vRp5z9rb0STPVOYJCJxnvy2ip-u1f0khGEmLZ4R08XAMwK5tT-PUIqhrpeYO3mQ9g9beXFX7Via_ckA/pubhtml,TRUE,"<div id=""C1"" class=""current-standings filterDiv divC""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRp5z9rb0STPVOYJCJxnvy2ip-u1f0khGEmLZ4R08XAMwK5tT-PUIqhrpeYO3mQ9g9beXFX7Via_ckA/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
C2,https://docs.google.com/forms/d/e/1FAIpQLSeOtoHygQqPCxOL-zDYPkIYzhNww0y6Nn28-GY8sCwt1KVfmg/viewform,https://docs.google.com/spreadsheets/d/195ECppjqVkYD2dMlJpBHi3yQVUBeXCizZ9wNrNmAv2A,6,s60/c2,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQ_9nHU4aNzSjnBoiiiFqHU-po0tn8XLITYY20k70tAMY0_Mz6fcbHreAFN-X-HMFdRKZyZQiK_cHgn/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vQ_9nHU4aNzSjnBoiiiFqHU-po0tn8XLITYY20k70tAMY0_Mz6fcbHreAFN-X-HMFdRKZyZQiK_cHgn/pubhtml,TRUE,"<div id=""C2"" class=""current-standings filterDiv divC""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQ_9nHU4aNzSjnBoiiiFqHU-po0tn8XLITYY20k70tAMY0_Mz6fcbHreAFN-X-HMFdRKZyZQiK_cHgn/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
C3,https://docs.google.com/forms/d/e/1FAIpQLScD2FPlyCQl9e0I8EAXJb9dixOxyLFFIHuiTrdEwEJE30V_fw/viewform,https://docs.google.com/spreadsheets/d/1JZs_q8HZ7Ot9PgnUgyih3VgdXr-P5c-LvyPkA8rv7kA,6,s60/c3,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vScHk902xCF_8X9O5dtzOGdBXJCLDQkjrMG_UZyZi_D2bJa_QYc8yUJAMZ_FY3WAmx_HcI_WmfJVVE3/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vScHk902xCF_8X9O5dtzOGdBXJCLDQkjrMG_UZyZi_D2bJa_QYc8yUJAMZ_FY3WAmx_HcI_WmfJVVE3/pubhtml,TRUE,"<div id=""C3"" class=""current-standings filterDiv divC""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vScHk902xCF_8X9O5dtzOGdBXJCLDQkjrMG_UZyZi_D2bJa_QYc8yUJAMZ_FY3WAmx_HcI_WmfJVVE3/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
C4,https://docs.google.com/forms/d/e/1FAIpQLSdDpgoTCEZBowtrNDhB6QCz8iFQJDvG-GddG5SVDD4NEbIG5A/viewform,https://docs.google.com/spreadsheets/d/1cV5Em_9FhcJvrH1zIVgd6tRwnj4VFHG01f881EmL7ao,6,s60/c4,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vT-Y7KHtvVtx0qIWZr2xsO_TFzdFd5AdUT38n18MqILBt6MbMncc6CrEZqvLiXKSnAcmWgnKzKjgPe9/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vT-Y7KHtvVtx0qIWZr2xsO_TFzdFd5AdUT38n18MqILBt6MbMncc6CrEZqvLiXKSnAcmWgnKzKjgPe9/pubhtml,TRUE,"<div id=""C4"" class=""current-standings filterDiv divC""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vT-Y7KHtvVtx0qIWZr2xsO_TFzdFd5AdUT38n18MqILBt6MbMncc6CrEZqvLiXKSnAcmWgnKzKjgPe9/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
D1,https://docs.google.com/forms/d/e/1FAIpQLSdFOPzwLGBH84i9apPGGbKxcJemjqMPArP6PQNEVnFkGTsJiQ/viewform,https://docs.google.com/spreadsheets/d/1H2jBc03gXpNouQpVVl3YQ1j0U3d3VGHE-op_pJ_N-lQ,6,s60/d1,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQQj8B1qqYqomiYKhAF05jeD_lvxyyaxSamtUG4v6A5E0l_NxAKP3pH-OVfy07SfdwA4RsX8hWjRsEi/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vQQj8B1qqYqomiYKhAF05jeD_lvxyyaxSamtUG4v6A5E0l_NxAKP3pH-OVfy07SfdwA4RsX8hWjRsEi/pubhtml,TRUE,"<div id=""D1"" class=""current-standings filterDiv divD""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQQj8B1qqYqomiYKhAF05jeD_lvxyyaxSamtUG4v6A5E0l_NxAKP3pH-OVfy07SfdwA4RsX8hWjRsEi/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
D2,https://docs.google.com/forms/d/e/1FAIpQLSc2vJypR0TAMXGPh-APCE9fbcYfcSte5IdxysNIkVQSAVcOEA/viewform,https://docs.google.com/spreadsheets/d/1PUvgUflZREpkXh05k9GYHmzqib1gLoK6YksqSyTuBgg,6,s60/d2,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSQ_TTZmC8g5lAytv5hPeFYHq2V_Mg1O27iAm4l3yX9XGGHGL4vo2XGqF7cF_mI8UdZWvds7u4xQxaC/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vSQ_TTZmC8g5lAytv5hPeFYHq2V_Mg1O27iAm4l3yX9XGGHGL4vo2XGqF7cF_mI8UdZWvds7u4xQxaC/pubhtml,TRUE,"<div id=""D2"" class=""current-standings filterDiv divD""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSQ_TTZmC8g5lAytv5hPeFYHq2V_Mg1O27iAm4l3yX9XGGHGL4vo2XGqF7cF_mI8UdZWvds7u4xQxaC/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
D3,https://docs.google.com/forms/d/e/1FAIpQLSfIPouMuqn-2BM7QAwGwEWZpZR0PeDVK-Smr01ghg5_VC_eNA/viewform,https://docs.google.com/spreadsheets/d/1oyVo5mr1l3IJ3yN3uDgV7ihDP2vkaIbpWrlimsmIdG4,6,s60/d3,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRGj12g8e0AAgWDZqPTuKEM8shVVEf_XyewUwD0KgjwN3RO9vDF13ZQN0J1mtdPYDPVrnqUFp_CtdFR/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vRGj12g8e0AAgWDZqPTuKEM8shVVEf_XyewUwD0KgjwN3RO9vDF13ZQN0J1mtdPYDPVrnqUFp_CtdFR/pubhtml,TRUE,"<div id=""D3"" class=""current-standings filterDiv divD""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRGj12g8e0AAgWDZqPTuKEM8shVVEf_XyewUwD0KgjwN3RO9vDF13ZQN0J1mtdPYDPVrnqUFp_CtdFR/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
