Div,Form,Spreadsheet,#,Slug,Done,Checked,Embed Standings,Display Standings,Promotion Scheme,To copy to website
A1,https://docs.google.com/forms/d/e/1FAIpQLSdwT0C8Cbu3ntc-hP5_HfJxODQp7SnpRfdrTcT1S4cF2FoImQ/viewform,https://docs.google.com/spreadsheets/d/1bpd06cPYO26cQWJINg_5034K20vQxBOwsj5oGwCI2Oo,6,s61/a1,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSINi8EU7o--XFQCONWNf9MVOoJ8ytn4LDBddz1x3KVWR14HfmjrJUcKZkHDHLhAna9Qx4fDrz-wK1y/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vSINi8EU7o--XFQCONWNf9MVOoJ8ytn4LDBddz1x3KVWR14HfmjrJUcKZkHDHLhAna9Qx4fDrz-wK1y/pubhtml,FALSE,"<div id=""A1"" class=""current-standings filterDiv divA""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSINi8EU7o--XFQCONWNf9MVOoJ8ytn4LDBddz1x3KVWR14HfmjrJUcKZkHDHLhAna9Qx4fDrz-wK1y/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
B1,https://docs.google.com/forms/d/e/1FAIpQLSdUw0fEgRZ2vvOOCUGAMyPSsLWW6a8U6xpqnbYTmM5Ye7mSXg/viewform,https://docs.google.com/spreadsheets/d/11Y_k4dC7hWT52uKCQNYtAM5DpRXxbL2eDptAScKThrI,6,s61/b1,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSSx0d1cWF2i-rsQPxqW_9vU880tRM5QBzU3MYPhJtwDk3pqghF9yj3mW0LF7csi1EqNmu2jaOMp1zA/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vSSx0d1cWF2i-rsQPxqW_9vU880tRM5QBzU3MYPhJtwDk3pqghF9yj3mW0LF7csi1EqNmu2jaOMp1zA/pubhtml,FALSE,"<div id=""B1"" class=""current-standings filterDiv divB""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSSx0d1cWF2i-rsQPxqW_9vU880tRM5QBzU3MYPhJtwDk3pqghF9yj3mW0LF7csi1EqNmu2jaOMp1zA/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
B2,https://docs.google.com/forms/d/e/1FAIpQLScA9t0av-OxOtRsO9dlgWWP3I-OyH0OzGazKnozW03Qsgf8sw/viewform,https://docs.google.com/spreadsheets/d/1xgtZSxKDIvtIuIuvIEb91kvU9dmxyiLFaoOsne4r3VI,6,s61/b2,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSAfWAYVoQ3en2UDA_wkt53yd-sbgpKiNjwgEtNatGBkxfoj-l2QMSppwE2UNhrgzLDMEmyMPa1iyRO/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vSAfWAYVoQ3en2UDA_wkt53yd-sbgpKiNjwgEtNatGBkxfoj-l2QMSppwE2UNhrgzLDMEmyMPa1iyRO/pubhtml,FALSE,"<div id=""B2"" class=""current-standings filterDiv divB""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSAfWAYVoQ3en2UDA_wkt53yd-sbgpKiNjwgEtNatGBkxfoj-l2QMSppwE2UNhrgzLDMEmyMPa1iyRO/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
C1,https://docs.google.com/forms/d/e/1FAIpQLSc5-Cvnf17b6JDSd-02ASApKQh2c3sTsPb_87O8LhneKhvvSw/viewform,https://docs.google.com/spreadsheets/d/1yqJR_zA5rvPO15SOIuZyJMLJgOxMaiX39Neh2ehGTUo,6,s61/c1,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vR31qtwCgiE5W_FKKCK7C4hXTKG7TVne06DP7zM65ottgv3Ssmo10dlJVJLuHR0pnA1hqqgFFh-Ou4C/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vR31qtwCgiE5W_FKKCK7C4hXTKG7TVne06DP7zM65ottgv3Ssmo10dlJVJLuHR0pnA1hqqgFFh-Ou4C/pubhtml,FALSE,"<div id=""C1"" class=""current-standings filterDiv divC""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vR31qtwCgiE5W_FKKCK7C4hXTKG7TVne06DP7zM65ottgv3Ssmo10dlJVJLuHR0pnA1hqqgFFh-Ou4C/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
C2,https://docs.google.com/forms/d/e/1FAIpQLSfbfShrmm8VgvDVDPlouvjASkXdkHPPM-bYtbckvKXpwonVKw/viewform,https://docs.google.com/spreadsheets/d/1SFwZttKTLXP0EK96lipIPLChBdyQxjbXi5XZbUtUSdY,6,s61/c2,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRHY4RCUtXW-RnI3l9TDeltki2w1lfwfm5c-4MdG0DPZ3IkqdNVLFApOzbrpwYXno1FDCc9vI494CY5/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vRHY4RCUtXW-RnI3l9TDeltki2w1lfwfm5c-4MdG0DPZ3IkqdNVLFApOzbrpwYXno1FDCc9vI494CY5/pubhtml,FALSE,"<div id=""C2"" class=""current-standings filterDiv divC""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRHY4RCUtXW-RnI3l9TDeltki2w1lfwfm5c-4MdG0DPZ3IkqdNVLFApOzbrpwYXno1FDCc9vI494CY5/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
C3,https://docs.google.com/forms/d/e/1FAIpQLSddUcamWSmfgWJnrFjbN91V3Ko_vlauQfIPo6YZTM6jfe6mxA/viewform,https://docs.google.com/spreadsheets/d/1k8QopKqbKSrLvT291gg8Vpmj4Oe46WyuSglIf5XPW5o,6,s61/c3,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSpdIeb8eSNXNH9NS6n7X5cV-EvSSQnXTlyUCf6lo7AkMY2hfnPpMPCLRT7KDlGYOhVJzKQ5Z-hpaj_/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vSpdIeb8eSNXNH9NS6n7X5cV-EvSSQnXTlyUCf6lo7AkMY2hfnPpMPCLRT7KDlGYOhVJzKQ5Z-hpaj_/pubhtml,FALSE,"<div id=""C3"" class=""current-standings filterDiv divC""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSpdIeb8eSNXNH9NS6n7X5cV-EvSSQnXTlyUCf6lo7AkMY2hfnPpMPCLRT7KDlGYOhVJzKQ5Z-hpaj_/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
C4,https://docs.google.com/forms/d/e/1FAIpQLSdWCkgxeIZ64neQmA91crUHfj6gt0u2aS3CapKiTwx1ucHiiQ/viewform,https://docs.google.com/spreadsheets/d/1ZZErk53WOxxgxXm86RPUzWS6GUBy839Zrx7bz0K2uSs,6,s61/c4,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vScsv7Gi1n_e-y6d-CUJ53Alx0jTAF1zX6XqWEW-habKrMLsRke8GOT2J6mwWeEvA4f931C773M8oaZ/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vScsv7Gi1n_e-y6d-CUJ53Alx0jTAF1zX6XqWEW-habKrMLsRke8GOT2J6mwWeEvA4f931C773M8oaZ/pubhtml,FALSE,"<div id=""C4"" class=""current-standings filterDiv divC""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vScsv7Gi1n_e-y6d-CUJ53Alx0jTAF1zX6XqWEW-habKrMLsRke8GOT2J6mwWeEvA4f931C773M8oaZ/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
D1,https://docs.google.com/forms/d/e/1FAIpQLSeNJ66YwIgp1JenRe-zj_idzsCDGZCzZBnWn9cM0J7wU2Yuow/viewform,https://docs.google.com/spreadsheets/d/1UqCqst9eq1Q_sQHPFBmB-F1VzJFi2E_i-MlVaTvjKrE,6,s61/d1,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTUYMQLrfFTX-5nZS-MoC_JRbNo2xpLx9jd9VmzF5hiiOcBwwiW9zmeG1Iw3R0RaHKLGGizGJS2nA0p/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vTUYMQLrfFTX-5nZS-MoC_JRbNo2xpLx9jd9VmzF5hiiOcBwwiW9zmeG1Iw3R0RaHKLGGizGJS2nA0p/pubhtml,FALSE,"<div id=""D1"" class=""current-standings filterDiv divD""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTUYMQLrfFTX-5nZS-MoC_JRbNo2xpLx9jd9VmzF5hiiOcBwwiW9zmeG1Iw3R0RaHKLGGizGJS2nA0p/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
D2,https://docs.google.com/forms/d/e/1FAIpQLSfU6s4XXUAbtjBg6XIcF7ViblYypEin0GW5thBtc73o85zSig/viewform,https://docs.google.com/spreadsheets/d/1LHy6O2ZXEeWwgxFOEhhHitdWFsHloHUDNYtq4Y757Nk,6,s61/d2,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRyprBvs7qehKgta8Uo8qE-UX691q5CyO25tgj6bI_ZVR-6iza4c7KO8ABzGAI31VWaDebE3LQN7rgT/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vRyprBvs7qehKgta8Uo8qE-UX691q5CyO25tgj6bI_ZVR-6iza4c7KO8ABzGAI31VWaDebE3LQN7rgT/pubhtml,FALSE,"<div id=""D2"" class=""current-standings filterDiv divD""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRyprBvs7qehKgta8Uo8qE-UX691q5CyO25tgj6bI_ZVR-6iza4c7KO8ABzGAI31VWaDebE3LQN7rgT/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
D3,https://docs.google.com/forms/d/e/1FAIpQLSf0_2TDAg3tk0sV9U2Fylj1wYqNakVVZb7oOGrLRuS6ydXffQ/viewform,https://docs.google.com/spreadsheets/d/1d1Cbg5rbEflZ0AVo3740j2dgRf71i3vy-rg4fYFWWOU,6,s61/d3,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSsMHNGY4Dl_NSkJMG7zQ2ACpGj8iu7wlfQZscjj7jd5nTnLlVvHqhWiSSPkJRBkUAXg16CfrmL5ZmO/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vSsMHNGY4Dl_NSkJMG7zQ2ACpGj8iu7wlfQZscjj7jd5nTnLlVvHqhWiSSPkJRBkUAXg16CfrmL5ZmO/pubhtml,FALSE,"<div id=""D3"" class=""current-standings filterDiv divD""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSsMHNGY4Dl_NSkJMG7zQ2ACpGj8iu7wlfQZscjj7jd5nTnLlVvHqhWiSSPkJRBkUAXg16CfrmL5ZmO/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
