Div,Form,Spreadsheet,#,Slug,Done,Checked,Embed Standings,Display Standings,Promotion Scheme,To copy to website
A1,https://docs.google.com/forms/d/e/1FAIpQLScZmZ5DkwBenatPpsLbM1GHYdiO7IJEyAXQP8RxcE1W89eq9w/viewform,https://docs.google.com/spreadsheets/d/13zyD-xlY87RNCii4_VK0cUeRMQn9NVa96n5Inz4ZPSU,7,s72/a1,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQ_OnBS461ltdDzSwmTsVcW1hR791sxsltSoIuboBZrPDgDqBgmIhZ4PJ08-1OnvpKPyMouJPtqesbE/pubhtml?gid=164454691&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vQ_OnBS461ltdDzSwmTsVcW1hR791sxsltSoIuboBZrPDgDqBgmIhZ4PJ08-1OnvpKPyMouJPtqesbE/pubhtml,TRUE,"<div id=""A1"" class=""current-standings filterDiv divA""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQ_OnBS461ltdDzSwmTsVcW1hR791sxsltSoIuboBZrPDgDqBgmIhZ4PJ08-1OnvpKPyMouJPtqesbE/pubhtml?gid=164454691&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
B1,https://docs.google.com/forms/d/e/1FAIpQLSey8t61Umc-ZvkLjS2nD4yGBcBhIH2YPDZJOU-S0Wh8mgt8Cw/viewform,https://docs.google.com/spreadsheets/d/1rsNdH9BUvyX5ZuJyuXZQSpecvFm7nm82LIiqBvdIoXM,6,s72/b1,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQw1DTqGWeT6uNuLw7fMSHl5aSFIZkluEVChj9dKCu2JEuXTXYcJmdFci4idamR1XN8CZwlCtxeAxfI/pubhtml?gid=1958614306&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vQw1DTqGWeT6uNuLw7fMSHl5aSFIZkluEVChj9dKCu2JEuXTXYcJmdFci4idamR1XN8CZwlCtxeAxfI/pubhtml,TRUE,"<div id=""B1"" class=""current-standings filterDiv divB""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQw1DTqGWeT6uNuLw7fMSHl5aSFIZkluEVChj9dKCu2JEuXTXYcJmdFci4idamR1XN8CZwlCtxeAxfI/pubhtml?gid=1958614306&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
B2,https://docs.google.com/forms/d/e/1FAIpQLScZOYY_Ta-wvft608tbNKzkmutblmuEkOF__jFZzKs0s0NYqg/viewform,https://docs.google.com/spreadsheets/d/1gEuanz509Vzlhw48uOXhQ9ZhkV5rujO3Y_HR30yLs-c,6,s72/b2,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTsGQLqR3ohau8hs7IInReHx-OOE7Xv34afIH-UShPluLz3L6V5m_syAxVHRO2JhQMvmD_e5zi_6aeW/pubhtml?gid=659168707&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vTsGQLqR3ohau8hs7IInReHx-OOE7Xv34afIH-UShPluLz3L6V5m_syAxVHRO2JhQMvmD_e5zi_6aeW/pubhtml,TRUE,"<div id=""B2"" class=""current-standings filterDiv divB""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTsGQLqR3ohau8hs7IInReHx-OOE7Xv34afIH-UShPluLz3L6V5m_syAxVHRO2JhQMvmD_e5zi_6aeW/pubhtml?gid=659168707&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
C1,https://docs.google.com/forms/d/e/1FAIpQLSc8OT25MzJjC3-1227dE5qAyDHQWNJJ1hQncjG9FQHR-kFL2A/viewform,https://docs.google.com/spreadsheets/d/1lc5h1Doy6xXo0Lx-lLs57E4oZaTthhg1L08SV_dBVKs,7,s72/c1,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTWzZOx2mgO1__QfpZgyDAQixrHdiDGGvf7L5AFIPIJHDU3-cK2049grdC92ecQA6neG--AuCE4jF5F/pubhtml?gid=1610835700&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vTWzZOx2mgO1__QfpZgyDAQixrHdiDGGvf7L5AFIPIJHDU3-cK2049grdC92ecQA6neG--AuCE4jF5F/pubhtml,TRUE,"<div id=""C1"" class=""current-standings filterDiv divC""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTWzZOx2mgO1__QfpZgyDAQixrHdiDGGvf7L5AFIPIJHDU3-cK2049grdC92ecQA6neG--AuCE4jF5F/pubhtml?gid=1610835700&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
C2,https://docs.google.com/forms/d/e/1FAIpQLScHIEBbC-wtzciaZuXkpNxgCJ8vihCatg6wxRthPqFwwE8UHQ/viewform,https://docs.google.com/spreadsheets/d/1O_joOgYjiZLpgZf5X67IKH3u45UQ8zSVd8ChaTPIFSE,6,s72/c2,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTiIdJbiUH6UwO9d2VefYTbmj9MEVAZCWwqHH2XaAMLznXH5Zge-5cwVEMK8vbOG_8vbPtk1Gk-70k3/pubhtml?gid=1299638304&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vTiIdJbiUH6UwO9d2VefYTbmj9MEVAZCWwqHH2XaAMLznXH5Zge-5cwVEMK8vbOG_8vbPtk1Gk-70k3/pubhtml,TRUE,"<div id=""C2"" class=""current-standings filterDiv divC""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTiIdJbiUH6UwO9d2VefYTbmj9MEVAZCWwqHH2XaAMLznXH5Zge-5cwVEMK8vbOG_8vbPtk1Gk-70k3/pubhtml?gid=1299638304&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
C3,https://docs.google.com/forms/d/e/1FAIpQLSea2YuzlXRJ50mYO25z6hgwCymKsaq9rFcCR9x6LCfMdTQIyQ/viewform,https://docs.google.com/spreadsheets/d/1Oa0igSSguPoCQDY7v5LBoEFwFYEPIAizKrc_QXD8YFg,6,s72/c3,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQ5IQCGeE2lWhdhEam8IXtpPrCsGA2cDym2KREp-o23xFP_0cVO7YUQaHFpH7bdiqTRZBMRw-cy0Yth/pubhtml?gid=1556535924&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vQ5IQCGeE2lWhdhEam8IXtpPrCsGA2cDym2KREp-o23xFP_0cVO7YUQaHFpH7bdiqTRZBMRw-cy0Yth/pubhtml,TRUE,"<div id=""C3"" class=""current-standings filterDiv divC""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQ5IQCGeE2lWhdhEam8IXtpPrCsGA2cDym2KREp-o23xFP_0cVO7YUQaHFpH7bdiqTRZBMRw-cy0Yth/pubhtml?gid=1556535924&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
C4,https://docs.google.com/forms/d/e/1FAIpQLSdW-FC2gHkGc2hWznjPaG_7skCLdQWrX-lWu_nrOF6SEVYT-Q/viewform,https://docs.google.com/spreadsheets/d/1R-ic6l0TGqEbodybMeXLKTXU8abgAZgVB8qJ0q-8oFc,6,s72/c4,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vR20SmfIxJ3fo-h3gaFoeIm1TDSqSSAhrIvLzl8mJLblG_zIFYm6vaS-Wo5mejzXp6ddU3AWBX1v-vO/pubhtml?gid=1193087491&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vR20SmfIxJ3fo-h3gaFoeIm1TDSqSSAhrIvLzl8mJLblG_zIFYm6vaS-Wo5mejzXp6ddU3AWBX1v-vO/pubhtml,TRUE,"<div id=""C4"" class=""current-standings filterDiv divC""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vR20SmfIxJ3fo-h3gaFoeIm1TDSqSSAhrIvLzl8mJLblG_zIFYm6vaS-Wo5mejzXp6ddU3AWBX1v-vO/pubhtml?gid=1193087491&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
D1,https://docs.google.com/forms/d/e/1FAIpQLSeCmjDY7ZWCHRbUx7PZq3J0atnjBmwlSN-IwPcbY5DR9voiCA/viewform,https://docs.google.com/spreadsheets/d/1L1hhdCBcXYyU0J6MsA42afhrcV0bIhVsDIjlXlrWXCQ,6,s72/d1,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTl4CGGflGR0CTZ6D0KqJVQmOMF5I2xN_eOXAiBLdIoEDD2B_n7lsF4zif8Dhs8-aF-sku1mTkyJgnQ/pubhtml?gid=1838264357&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vTl4CGGflGR0CTZ6D0KqJVQmOMF5I2xN_eOXAiBLdIoEDD2B_n7lsF4zif8Dhs8-aF-sku1mTkyJgnQ/pubhtml,TRUE,"<div id=""D1"" class=""current-standings filterDiv divD""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTl4CGGflGR0CTZ6D0KqJVQmOMF5I2xN_eOXAiBLdIoEDD2B_n7lsF4zif8Dhs8-aF-sku1mTkyJgnQ/pubhtml?gid=1838264357&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
D2,https://docs.google.com/forms/d/e/1FAIpQLScqUrB-sXjixvA1bOZM0KPZdduHf6w2LLcv-UihblcqDroIAQ/viewform,https://docs.google.com/spreadsheets/d/1xxS533PQ0tFo1CAXPoAx-t-nsFgHBi_kvAHwTSs9bKQ,6,s72/d2,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRh_r7XCuMLmvEPIb0gLcgAlEfjcDvUTjU0auN1oj3F1IHlFhyrOBQYQAluZ5XOwHYakM0XnSsUwbni/pubhtml?gid=374305455&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vRh_r7XCuMLmvEPIb0gLcgAlEfjcDvUTjU0auN1oj3F1IHlFhyrOBQYQAluZ5XOwHYakM0XnSsUwbni/pubhtml,TRUE,"<div id=""D2"" class=""current-standings filterDiv divD""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRh_r7XCuMLmvEPIb0gLcgAlEfjcDvUTjU0auN1oj3F1IHlFhyrOBQYQAluZ5XOwHYakM0XnSsUwbni/pubhtml?gid=374305455&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
D3,https://docs.google.com/forms/d/e/1FAIpQLSexSE8X6dQirLZd2enFCyFeKPV6q8vuSEJFGSaaNYRiBuHsVQ/viewform,https://docs.google.com/spreadsheets/d/1ZmlT8zfoTspd9nlcFlK5LNalSqh6bExiW1GBNNGn70o,6,s72/d3,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSRc3PQ1ebgmv7awfVFA0qjC3uzzT3kwMfavkEkZBsOIw_OY3GTDb6PyGU1gVE8FTCjwXdUW5BaLyJo/pubhtml?gid=39633542&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vSRc3PQ1ebgmv7awfVFA0qjC3uzzT3kwMfavkEkZBsOIw_OY3GTDb6PyGU1gVE8FTCjwXdUW5BaLyJo/pubhtml,TRUE,"<div id=""D3"" class=""current-standings filterDiv divD""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSRc3PQ1ebgmv7awfVFA0qjC3uzzT3kwMfavkEkZBsOIw_OY3GTDb6PyGU1gVE8FTCjwXdUW5BaLyJo/pubhtml?gid=39633542&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
