Div,Form,Spreadsheet,#,Slug,Done,Checked,Embed Standings,Display Standings,Promotion Scheme,To copy to website
A1,https://docs.google.com/forms/d/e/1FAIpQLSeGIOc5onOpLAqOCYaUTahaVGru96vsDPryHZqw4u3inJwvaw/viewform,https://docs.google.com/spreadsheets/d/1jFWF1rs4FoZHbzSLBGNyqQGvGnWImP_krq1q7sO7GEk,6,s63/a1,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vR-L-FSzvwB2v3jiPM2GFvHFaQgrPCtNvH2h7YeKuXqbvqmSnoquiTV6r0XYs99dDzcsrofA8VIyK_7/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vR-L-FSzvwB2v3jiPM2GFvHFaQgrPCtNvH2h7YeKuXqbvqmSnoquiTV6r0XYs99dDzcsrofA8VIyK_7/pubhtml,TRUE,"<div id=""A1"" class=""current-standings filterDiv divA""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vR-L-FSzvwB2v3jiPM2GFvHFaQgrPCtNvH2h7YeKuXqbvqmSnoquiTV6r0XYs99dDzcsrofA8VIyK_7/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
B1,https://docs.google.com/forms/d/e/1FAIpQLSf2Rbgp_Kjb9-E5bWalU0CdwgOv5ev9T4cPP0JzlSbG7jClvw/viewform,https://docs.google.com/spreadsheets/d/1WmQnLWnqQmxfaQm-hsWhsZq5i7jlLOrQkdSGiGrnREE,7,s63/b1,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSsL29RTYMSAJAaFsqh0WTlPthhB4RDhPwOBOnDtgfVlKj1EjZDlV4A9mUZtI7KC_mMxTZ-Mauw-s8L/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vSsL29RTYMSAJAaFsqh0WTlPthhB4RDhPwOBOnDtgfVlKj1EjZDlV4A9mUZtI7KC_mMxTZ-Mauw-s8L/pubhtml,TRUE,"<div id=""B1"" class=""current-standings filterDiv divB""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSsL29RTYMSAJAaFsqh0WTlPthhB4RDhPwOBOnDtgfVlKj1EjZDlV4A9mUZtI7KC_mMxTZ-Mauw-s8L/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
B2,https://docs.google.com/forms/d/e/1FAIpQLSd_-dbdbaKv7lIhjydabUfM1lnX7H5NpQpCGKjkdRdwdCH0_g/viewform,https://docs.google.com/spreadsheets/d/1Rkhq5SgSnOaN9ar1vmaLCbVE6QqyQWN1ABjPq9D6Pkg,7,s63/b2,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRvDWm5o-GyzauJrns0Ul0BFMvXxh8AY_S2OTqbJPBR45GXGLgymC2E_0ByEAjFH_lY7fazbvGjW-n0/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vRvDWm5o-GyzauJrns0Ul0BFMvXxh8AY_S2OTqbJPBR45GXGLgymC2E_0ByEAjFH_lY7fazbvGjW-n0/pubhtml,TRUE,"<div id=""B2"" class=""current-standings filterDiv divB""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRvDWm5o-GyzauJrns0Ul0BFMvXxh8AY_S2OTqbJPBR45GXGLgymC2E_0ByEAjFH_lY7fazbvGjW-n0/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
C1,https://docs.google.com/forms/d/e/1FAIpQLSez2HMO1PkeDhYkKIJKP5DxCBGQGU9WcBJk9G0Gh2AaCwPPNw/viewform,https://docs.google.com/spreadsheets/d/1HCSUbG0hlCGtrySY-fREEaDyyGIY4SrV4ZBS-Y4D3l0,6,s63/c1,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQuTiASUxov-r2t5PQoh2Y0ZG5cejt5cpAeWfGC1rYzH-dIrJeZ10k64pIzSmUHNUp7Cil8NDdkefVG/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vQuTiASUxov-r2t5PQoh2Y0ZG5cejt5cpAeWfGC1rYzH-dIrJeZ10k64pIzSmUHNUp7Cil8NDdkefVG/pubhtml,TRUE,"<div id=""C1"" class=""current-standings filterDiv divC""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQuTiASUxov-r2t5PQoh2Y0ZG5cejt5cpAeWfGC1rYzH-dIrJeZ10k64pIzSmUHNUp7Cil8NDdkefVG/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
C2,https://docs.google.com/forms/d/e/1FAIpQLScZwS5vMMjKqYnbWvS0eudm8_i9AFMiYHEmPV-BdmomHcbtDg/viewform,https://docs.google.com/spreadsheets/d/14IVB1MSFJ3Vl0tZ-qYBtdBdLZ-h-ssEnyyW-8kiaT6Q,6,s63/c2,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRlrpvWMNqG8mclCAQbe2flB_fE37Pgy13fzTDSsp9RHXy3ql8rE7NzD9x6WkPMP33elYAc8rspCy49/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vRlrpvWMNqG8mclCAQbe2flB_fE37Pgy13fzTDSsp9RHXy3ql8rE7NzD9x6WkPMP33elYAc8rspCy49/pubhtml,TRUE,"<div id=""C2"" class=""current-standings filterDiv divC""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRlrpvWMNqG8mclCAQbe2flB_fE37Pgy13fzTDSsp9RHXy3ql8rE7NzD9x6WkPMP33elYAc8rspCy49/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
C3,https://docs.google.com/forms/d/e/1FAIpQLScMt4hw7pZG4X3IvdZ4JtzzBtLSn6tU1__qJELFQgSg0kpu3A/viewform,https://docs.google.com/spreadsheets/d/1WsvDpui5HEandjjQOJTYbD0RhztOAJvD1nXHcLY-rQI,6,s63/c3,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRFhjUVSc_gg_5xeHCv-oIQQIMx_bjUOVbz7_SSjNKdNUtiz6DifuDB_JjyhK-4b7ZPaRw4A9zzERgC/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vRFhjUVSc_gg_5xeHCv-oIQQIMx_bjUOVbz7_SSjNKdNUtiz6DifuDB_JjyhK-4b7ZPaRw4A9zzERgC/pubhtml,TRUE,"<div id=""C3"" class=""current-standings filterDiv divC""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRFhjUVSc_gg_5xeHCv-oIQQIMx_bjUOVbz7_SSjNKdNUtiz6DifuDB_JjyhK-4b7ZPaRw4A9zzERgC/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
C4,https://docs.google.com/forms/d/e/1FAIpQLSfs0_-DUuokcL4TuJlBd7Wqtbgu_PhU9iMz1mmXMd6Rb1Jqew/viewform,https://docs.google.com/spreadsheets/d/1dVVA-9nf7xG44nDfsBb89SBV_OXtwRRydHh38ICA35k,6,s63/c4,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSf-LMdbpwBWWg300-8rCh1knFzHG62x7J-Vf4PHQ7kMoplQrLe7VeX5K0lHHJMzuDTNWw_30307tKt/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vSf-LMdbpwBWWg300-8rCh1knFzHG62x7J-Vf4PHQ7kMoplQrLe7VeX5K0lHHJMzuDTNWw_30307tKt/pubhtml,TRUE,"<div id=""C4"" class=""current-standings filterDiv divC""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSf-LMdbpwBWWg300-8rCh1knFzHG62x7J-Vf4PHQ7kMoplQrLe7VeX5K0lHHJMzuDTNWw_30307tKt/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
D1,https://docs.google.com/forms/d/e/1FAIpQLSdCCwCXC3dxQSq5Mo1XXs3yIdFTmDOQ6K2U0hJaT1xMjfbQGg/viewform,https://docs.google.com/spreadsheets/d/1eipxT3gd9SwnNp-6U-Od_KqXPurxCVHPB0L4EIDizN8,7,s63/d1,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vT6Y2utWdndcWsNVf2a9Qj7r0AmChfv38Afayuq0pjwYFgEI6Jg6oJdwtpPWKpKTHE4_F4nzmRv_g-h/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vT6Y2utWdndcWsNVf2a9Qj7r0AmChfv38Afayuq0pjwYFgEI6Jg6oJdwtpPWKpKTHE4_F4nzmRv_g-h/pubhtml,TRUE,"<div id=""D1"" class=""current-standings filterDiv divD""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vT6Y2utWdndcWsNVf2a9Qj7r0AmChfv38Afayuq0pjwYFgEI6Jg6oJdwtpPWKpKTHE4_F4nzmRv_g-h/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
D2,https://docs.google.com/forms/d/e/1FAIpQLSceaSH3Mobtmn9BJpjS-aat70HU_TOqjTDlsU-mrPQqKn2JJg/viewform,https://docs.google.com/spreadsheets/d/1eXSP6ZvLdMFFTWmWxTFqHBOUWDS2JSOqh3pgKw940vQ,6,s63/d2,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vR2801vIBPzgcUm763yY39yzcvc1SPq4YdZPADPzdJLy_zpMHBCI6Ia4T3Ko0_H-rMO3kqHoC6gu1A4/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vR2801vIBPzgcUm763yY39yzcvc1SPq4YdZPADPzdJLy_zpMHBCI6Ia4T3Ko0_H-rMO3kqHoC6gu1A4/pubhtml,TRUE,"<div id=""D2"" class=""current-standings filterDiv divD""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vR2801vIBPzgcUm763yY39yzcvc1SPq4YdZPADPzdJLy_zpMHBCI6Ia4T3Ko0_H-rMO3kqHoC6gu1A4/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
D3,https://docs.google.com/forms/d/e/1FAIpQLSdD59Ae8RO-hA6ConVuJ9ZY6RFnJzloeesv681RaIAFdwbpFw/viewform,https://docs.google.com/spreadsheets/d/1YZhwdDY0LXOt-7_PQX6cwv-skg6Uu3oT0AQ6z9IecV8,6,s63/d3,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQKZQzHT52UWw0BhHJpaPW8GGAxl7mJ9luVNvzzqqtpBgq6abo-881b5Qw392ZBP6L-ApixHUcxfiDO/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vQKZQzHT52UWw0BhHJpaPW8GGAxl7mJ9luVNvzzqqtpBgq6abo-881b5Qw392ZBP6L-ApixHUcxfiDO/pubhtml,TRUE,"<div id=""D3"" class=""current-standings filterDiv divD""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQKZQzHT52UWw0BhHJpaPW8GGAxl7mJ9luVNvzzqqtpBgq6abo-881b5Qw392ZBP6L-ApixHUcxfiDO/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
