Div,Form,Spreadsheet,#,Slug,Done,Checked,Embed Standings,Display Standings,Promotion Scheme,To copy to website
A1,https://docs.google.com/forms/d/e/1FAIpQLSdXfCKw2wdcipaO0Xll5oYCK4Yi7JFBIlrWJ9daKkbT1KdMTA/viewform,https://docs.google.com/spreadsheets/d/18zxCzgkbPjhyjhqVZKqZ3Axh08CkztSrLDQipskGCns,6,s53/a1,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQ8NMv5FiZEAL7aR7Cxj_99GoK2hSHBdsEoeUMPqEoJ-nxTTXhY0O7rDo8RwjULLuU8MfSf-5VDtFYX/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vQ8NMv5FiZEAL7aR7Cxj_99GoK2hSHBdsEoeUMPqEoJ-nxTTXhY0O7rDo8RwjULLuU8MfSf-5VDtFYX/pubhtml,TRUE,"<div id=""A1"" class=""current-standings filterDiv divA""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQ8NMv5FiZEAL7aR7Cxj_99GoK2hSHBdsEoeUMPqEoJ-nxTTXhY0O7rDo8RwjULLuU8MfSf-5VDtFYX/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
B1,https://docs.google.com/forms/d/e/1FAIpQLSe0C7YDN5O8oPPJz82BGCGRO7QUIxKpTeZgJv5uwnfxmELGyw/viewform,https://docs.google.com/spreadsheets/d/1gLcGpzfzk6Lm_KECHa1ea2Z4F2rnWZGAVju9L4GU5GI,7,s53/b1,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRHOC4bBbTMwwVlWBZ08heY9wrRMafaRzUkc0vo8uHv5FraRo3LbzWJn1aL997T5WLvKWsnhda6IcVd/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vRHOC4bBbTMwwVlWBZ08heY9wrRMafaRzUkc0vo8uHv5FraRo3LbzWJn1aL997T5WLvKWsnhda6IcVd/pubhtml,TRUE,"<div id=""B1"" class=""current-standings filterDiv divB""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRHOC4bBbTMwwVlWBZ08heY9wrRMafaRzUkc0vo8uHv5FraRo3LbzWJn1aL997T5WLvKWsnhda6IcVd/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
B2,https://docs.google.com/forms/d/e/1FAIpQLSfYDNgccAQrx2Tmuje-pnhfavqzeHN51YuIQwNjCT_sG_tMvQ/viewform,https://docs.google.com/spreadsheets/d/1FCbQmQpuyxVKitNnGv_bIhUVeGaNfWipnlm9cayIem0,6,s53/b2,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRaStgUYMC5oKcHN42IyjJnrRdnvUefyfO_Cb6tGK2OStvON2pZq8Z3AxufYGLzoEWg51TKmV-892JS/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vRaStgUYMC5oKcHN42IyjJnrRdnvUefyfO_Cb6tGK2OStvON2pZq8Z3AxufYGLzoEWg51TKmV-892JS/pubhtml,TRUE,"<div id=""B2"" class=""current-standings filterDiv divB""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRaStgUYMC5oKcHN42IyjJnrRdnvUefyfO_Cb6tGK2OStvON2pZq8Z3AxufYGLzoEWg51TKmV-892JS/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
C1,https://docs.google.com/forms/d/e/1FAIpQLSc0r_fHCKix9SX5VunUHphCXfEwUBNJbSoQCvj9S6fu1sxkHQ/viewform,https://docs.google.com/spreadsheets/d/19xiIT8rAxc4SygHqCUqGhrgUr5Kosw3jkA-5yWhfHcE,7,s53/c1,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSYdbh7jRFKo02pn5rO-JRu5aTWE9udELnzKCCsL9GYB8YGG2Gdhilb6dk3tsN_qNRWUuckc3T6qVo2/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vSYdbh7jRFKo02pn5rO-JRu5aTWE9udELnzKCCsL9GYB8YGG2Gdhilb6dk3tsN_qNRWUuckc3T6qVo2/pubhtml,TRUE,"<div id=""C1"" class=""current-standings filterDiv divC""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSYdbh7jRFKo02pn5rO-JRu5aTWE9udELnzKCCsL9GYB8YGG2Gdhilb6dk3tsN_qNRWUuckc3T6qVo2/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
C2,https://docs.google.com/forms/d/e/1FAIpQLSf2Ey-H4wfq7uRnAS1-oV-whhKsyX5hoQ6pbFzGLPRgUbPlIQ/viewform,https://docs.google.com/spreadsheets/d/19LXalSH1VtTlhnNAq67XAX9GJdIK5cOMVMKN1LZvrS4,6,s53/c2,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTARDZtoVc4LEIMUcTPTpivA_y7JOn-eSj2lctCfDf3vM9P_My2xPNYyy6I3zMUbLVVMzeAq-dlRVoA/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vTARDZtoVc4LEIMUcTPTpivA_y7JOn-eSj2lctCfDf3vM9P_My2xPNYyy6I3zMUbLVVMzeAq-dlRVoA/pubhtml,TRUE,"<div id=""C2"" class=""current-standings filterDiv divC""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTARDZtoVc4LEIMUcTPTpivA_y7JOn-eSj2lctCfDf3vM9P_My2xPNYyy6I3zMUbLVVMzeAq-dlRVoA/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
C3,https://docs.google.com/forms/d/e/1FAIpQLSdZn3GST6R5jgmlry-nPhHfC2hE7PHQqny2Obu3Pf-E0mHF_Q/viewform,https://docs.google.com/spreadsheets/d/1RPWpr9cT-QWIu3Ve9_F-sZtT2Hb4021n1tZ134D-4io,6,s53/c3,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQhRBIz1PlDS1SId6VBEPSyipGMVDcTeJil1On1QYuBckt37FfAnfUkeht8k5LzdAI1DzXu4hQTUe5L/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vQhRBIz1PlDS1SId6VBEPSyipGMVDcTeJil1On1QYuBckt37FfAnfUkeht8k5LzdAI1DzXu4hQTUe5L/pubhtml,TRUE,"<div id=""C3"" class=""current-standings filterDiv divC""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQhRBIz1PlDS1SId6VBEPSyipGMVDcTeJil1On1QYuBckt37FfAnfUkeht8k5LzdAI1DzXu4hQTUe5L/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
C4,https://docs.google.com/forms/d/e/1FAIpQLSf4UzBxpQRiyBOxzwwMoH7XRxEYYzc6fBouDSBCQeyhl3wtOQ/viewform,https://docs.google.com/spreadsheets/d/1aP4SDDDzICt4rMLUr7kutGgmbs87kQxGdDs8TsZhkDQ,6,s53/c4,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTvl-Zodyb0ZFEJYUdejxWzZEE__020Ej7DmRMlw1VacZIW5qyimthsW75LJVoyC3kUD6vc2fKN7FcT/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vTvl-Zodyb0ZFEJYUdejxWzZEE__020Ej7DmRMlw1VacZIW5qyimthsW75LJVoyC3kUD6vc2fKN7FcT/pubhtml,TRUE,"<div id=""C4"" class=""current-standings filterDiv divC""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTvl-Zodyb0ZFEJYUdejxWzZEE__020Ej7DmRMlw1VacZIW5qyimthsW75LJVoyC3kUD6vc2fKN7FcT/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
D1,https://docs.google.com/forms/d/e/1FAIpQLScH_nAti5ORQ6IvvavWP_4RZj7FEaotp8NyBgxV9XyyHfYUpg/viewform,https://docs.google.com/spreadsheets/d/14Bal2nVkZO7c7HY96Gmr-NIrom3leLFbxXQp1FoPbq8,6,s53/d1,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSXX57Cymmz6n215-WfaHPVPBlZlWKPIbvjwAQEltFEskCycd5MaV4iBqRIHYIHduzNyPXMKmXcOP05/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vSXX57Cymmz6n215-WfaHPVPBlZlWKPIbvjwAQEltFEskCycd5MaV4iBqRIHYIHduzNyPXMKmXcOP05/pubhtml,TRUE,"<div id=""D1"" class=""current-standings filterDiv divD""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSXX57Cymmz6n215-WfaHPVPBlZlWKPIbvjwAQEltFEskCycd5MaV4iBqRIHYIHduzNyPXMKmXcOP05/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
D2,https://docs.google.com/forms/d/e/1FAIpQLSeiz7irCNbm9StACP8eMNaJ8gKYZxWn4x3bALuGnLVBGTXb5w/viewform,https://docs.google.com/spreadsheets/d/1FbJFr0_EdnDaSdj8F9mskp7kIY5ubUyW3i5vg0YtMbw,6,s53/d2,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSUgIZNC548BFfPyXEURa6VnKlMsoN5MDCADnP7oEc9fB57YBtSwvyPQ8Rzn693xwWyKIHsi8RWBdSR/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vSUgIZNC548BFfPyXEURa6VnKlMsoN5MDCADnP7oEc9fB57YBtSwvyPQ8Rzn693xwWyKIHsi8RWBdSR/pubhtml,TRUE,"<div id=""D2"" class=""current-standings filterDiv divD""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSUgIZNC548BFfPyXEURa6VnKlMsoN5MDCADnP7oEc9fB57YBtSwvyPQ8Rzn693xwWyKIHsi8RWBdSR/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
D3,https://docs.google.com/forms/d/e/1FAIpQLSfGY_LNTD81_UV_-jhvBVXQurgDnEKZU9DvEdNt3oUBSObBKA/viewform,https://docs.google.com/spreadsheets/d/1WFF171-6ME2KrzEzUJKiZvPf68696W10C4RBaBWXi-g,6,s53/d3,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQp-KzQvGDyroF2PoZyIS9-03p17jg-5bvfVyu86xWZ_hazt0by_t3nEIDkMhSkxpEqTKCaVO2uOA43/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vQp-KzQvGDyroF2PoZyIS9-03p17jg-5bvfVyu86xWZ_hazt0by_t3nEIDkMhSkxpEqTKCaVO2uOA43/pubhtml,TRUE,"<div id=""D3"" class=""current-standings filterDiv divD""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQp-KzQvGDyroF2PoZyIS9-03p17jg-5bvfVyu86xWZ_hazt0by_t3nEIDkMhSkxpEqTKCaVO2uOA43/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
