Div,Form,Spreadsheet,#,Slug,Done,Checked,Embed Standings,Display Standings,Promotion Scheme,To copy to website
A1,https://docs.google.com/forms/d/e/1FAIpQLSd-gbEANRO5DSeBYcIPOm8lossVkbjB1hB0di7HjOUxzwvpnw/viewform,https://docs.google.com/spreadsheets/d/1nYxllthPTT9dJbnAe7obGrTlXdqVW3GAV49Yb1Py_CE,6,s65/a1,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTT5lXofa8wg0j6ihar3P0L3IvpSDDYE9kHW36QODg6PYg7CPDSDmeecSr6yUQy2wdPg1kmp5rbwrOy/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vTT5lXofa8wg0j6ihar3P0L3IvpSDDYE9kHW36QODg6PYg7CPDSDmeecSr6yUQy2wdPg1kmp5rbwrOy/pubhtml,TRUE,"<div id=""A1"" class=""current-standings filterDiv divA""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTT5lXofa8wg0j6ihar3P0L3IvpSDDYE9kHW36QODg6PYg7CPDSDmeecSr6yUQy2wdPg1kmp5rbwrOy/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
B1,https://docs.google.com/forms/d/e/1FAIpQLSf0i14oCKN6SmP0w5MY_6AOSNwAzaYTRcwBrUbX4nD_qIjOOw/viewform,https://docs.google.com/spreadsheets/d/1-q2WRY9zypk-_kheyX-NfIL19E2puB_VTz6dUKp2e1Y,6,s65/b1,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSBOjmVu1VDoRC-oGy73bcggAHUyMzEe9HLUlpDL58MdjbAUknPN8vGoyVPHzqHJr7J847p0qbVxwz4/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vSBOjmVu1VDoRC-oGy73bcggAHUyMzEe9HLUlpDL58MdjbAUknPN8vGoyVPHzqHJr7J847p0qbVxwz4/pubhtml,TRUE,"<div id=""B1"" class=""current-standings filterDiv divB""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSBOjmVu1VDoRC-oGy73bcggAHUyMzEe9HLUlpDL58MdjbAUknPN8vGoyVPHzqHJr7J847p0qbVxwz4/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
B2,https://docs.google.com/forms/d/e/1FAIpQLSck0qup4LMO75EhmmaUL--YGofKs3WjRm9uQljg9YLP_ApgBg/viewform,https://docs.google.com/spreadsheets/d/1EOiLQYtOVgxdPLbdUZOrqvs5laXFUHIRjPMX3M5DvmY,6,s65/b2,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRU4Z3diNteNc7tDIY1SzDr2HqcS0BOi0N7Xlaq_qo8TKnPEV_VZHCyV4JUAnWrKjJcwKDbHkA-ilHi/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vRU4Z3diNteNc7tDIY1SzDr2HqcS0BOi0N7Xlaq_qo8TKnPEV_VZHCyV4JUAnWrKjJcwKDbHkA-ilHi/pubhtml,TRUE,"<div id=""B2"" class=""current-standings filterDiv divB""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRU4Z3diNteNc7tDIY1SzDr2HqcS0BOi0N7Xlaq_qo8TKnPEV_VZHCyV4JUAnWrKjJcwKDbHkA-ilHi/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
C1,https://docs.google.com/forms/d/e/1FAIpQLSdy_K2mlXLhVe0ATihrNRd5WcseL0gmMJVyXJ7FXqkJhTDaug/viewform,https://docs.google.com/spreadsheets/d/1cilW-X_5ly2jObjj3lywRQxcLbfUzihUBAr9dF1MOXA,6,s65/c1,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQcLxXB4Mf2EGpQZKdDxvobBdcB5y2pxma-fsqaGHzZ0b41-5jA-IGz3tsM4SF7wkESLXOUZTq-R3qx/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vQcLxXB4Mf2EGpQZKdDxvobBdcB5y2pxma-fsqaGHzZ0b41-5jA-IGz3tsM4SF7wkESLXOUZTq-R3qx/pubhtml,TRUE,"<div id=""C1"" class=""current-standings filterDiv divC""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQcLxXB4Mf2EGpQZKdDxvobBdcB5y2pxma-fsqaGHzZ0b41-5jA-IGz3tsM4SF7wkESLXOUZTq-R3qx/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
C2,https://docs.google.com/forms/d/e/1FAIpQLSfbjUL6fmTtYXdz48WV42yo6xGy-avdoENPm5jUw8F_WDcp3w/viewform,https://docs.google.com/spreadsheets/d/1bLzZUGVOuSiWbhkA6dYB7U-P2zA_dZrih574Lu3qAG4,6,s65/c2,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQVim1gFTo2A8CjIyfrlHZ0b_6gY6F6CmZ1rl0BDeqsLqEvxWr_S28cHLarTiDBoqeZOPNtn99Lh64j/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vQVim1gFTo2A8CjIyfrlHZ0b_6gY6F6CmZ1rl0BDeqsLqEvxWr_S28cHLarTiDBoqeZOPNtn99Lh64j/pubhtml,TRUE,"<div id=""C2"" class=""current-standings filterDiv divC""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQVim1gFTo2A8CjIyfrlHZ0b_6gY6F6CmZ1rl0BDeqsLqEvxWr_S28cHLarTiDBoqeZOPNtn99Lh64j/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
C3,https://docs.google.com/forms/d/e/1FAIpQLScVnU_9ihzyK5oIU7zBXuV7Eavi15wIlZfw1dWjP-16pPWtmA/viewform,https://docs.google.com/spreadsheets/d/1Fkvkp7mkwwFa3wLZ6C4_jgb-WthZJzfzUh3m2VGAB1s,6,s65/c3,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSKW8rSSYTK6VayTuF8a1rX8gpBnSRsuGt7_Cctqp0CISWOkyOgpxDUJhVZF2klzpJggrafBVSdNShk/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vSKW8rSSYTK6VayTuF8a1rX8gpBnSRsuGt7_Cctqp0CISWOkyOgpxDUJhVZF2klzpJggrafBVSdNShk/pubhtml,TRUE,"<div id=""C3"" class=""current-standings filterDiv divC""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSKW8rSSYTK6VayTuF8a1rX8gpBnSRsuGt7_Cctqp0CISWOkyOgpxDUJhVZF2klzpJggrafBVSdNShk/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
C4,https://docs.google.com/forms/d/e/1FAIpQLSeCjgtn19BAyHEnr_elA32zV7H1TNA1gglBW8hZMTPgMbyPFw/viewform,https://docs.google.com/spreadsheets/d/1qLJC24DXjGsN5bsLD2-u1qru1h9_j9sC-9J88kOFE18,6,s65/c4,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTOEDVeYSnCK1l4h-Z595Iw0QBT1IEfYUd3rOyQKIaOdimBG4FFHCfkF2Te5MdmDRlvX_woBb34B81P/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vTOEDVeYSnCK1l4h-Z595Iw0QBT1IEfYUd3rOyQKIaOdimBG4FFHCfkF2Te5MdmDRlvX_woBb34B81P/pubhtml,TRUE,"<div id=""C4"" class=""current-standings filterDiv divC""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTOEDVeYSnCK1l4h-Z595Iw0QBT1IEfYUd3rOyQKIaOdimBG4FFHCfkF2Te5MdmDRlvX_woBb34B81P/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
D1,https://docs.google.com/forms/d/e/1FAIpQLScsaY8t1yd3a0jZCdypenDHq9dZaYGvwnEWN5yDBpfZYqx8bA/viewform,https://docs.google.com/spreadsheets/d/1BdxiNzsjeFsITBB2Tmtx8SRXO3-0zhwf0NzzMW1Pj3s,6,s65/d1,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTo40NYMBWCnCRMzqOLq8QmJsgnfbeUWofJVAiP7aPRwt3nWW8N8THHoaBF5GCSnNrXuPg7yGm2b0DE/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vTo40NYMBWCnCRMzqOLq8QmJsgnfbeUWofJVAiP7aPRwt3nWW8N8THHoaBF5GCSnNrXuPg7yGm2b0DE/pubhtml,TRUE,"<div id=""D1"" class=""current-standings filterDiv divD""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTo40NYMBWCnCRMzqOLq8QmJsgnfbeUWofJVAiP7aPRwt3nWW8N8THHoaBF5GCSnNrXuPg7yGm2b0DE/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
D2,https://docs.google.com/forms/d/e/1FAIpQLSdzFDcfmnnL4U_cUrXwqC9FOB9yIcWycEMCMDRVrlk9xBdjcw/viewform,https://docs.google.com/spreadsheets/d/1EaAGta9r09cl17LwkIivpmiGMasIoBE2HRU8SijQReE,6,s65/d2,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRRGIwmL-s_dXZrnoGFm7nCwNwFpQ4IaSH7r7iS8wBG1fcpSBR7hBpXYoxtYZXF7et6Z4QGt_QuguWv/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vRRGIwmL-s_dXZrnoGFm7nCwNwFpQ4IaSH7r7iS8wBG1fcpSBR7hBpXYoxtYZXF7et6Z4QGt_QuguWv/pubhtml,TRUE,"<div id=""D2"" class=""current-standings filterDiv divD""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRRGIwmL-s_dXZrnoGFm7nCwNwFpQ4IaSH7r7iS8wBG1fcpSBR7hBpXYoxtYZXF7et6Z4QGt_QuguWv/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
D3,https://docs.google.com/forms/d/e/1FAIpQLSc7kjt8HZvmNqCz6Vx0mx62STOyRsdz85as90PgtIPRhg2_-w/viewform,https://docs.google.com/spreadsheets/d/1hhfzjYqQd8X4xDoMQRVyx7TqUpz84GeiB4pDDHD-vK0,6,s65/d3,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSe-xi7hNtv9XTFFxxZLCDXjmbYs6eomPUUsmWCbkG2zvQjzPXoEAKj8XOv8bhtx5jD9_JuWasb99Of/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vSe-xi7hNtv9XTFFxxZLCDXjmbYs6eomPUUsmWCbkG2zvQjzPXoEAKj8XOv8bhtx5jD9_JuWasb99Of/pubhtml,TRUE,"<div id=""D3"" class=""current-standings filterDiv divD""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSe-xi7hNtv9XTFFxxZLCDXjmbYs6eomPUUsmWCbkG2zvQjzPXoEAKj8XOv8bhtx5jD9_JuWasb99Of/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
