Div,Form,Spreadsheet,#,Slug,Done,Checked,Embed Standings,Display Standings,Promotion Scheme,To copy to website
A1,https://docs.google.com/forms/d/e/1FAIpQLSdU12yrLiaPv4rXbp2uWkDwj4S5HXgvNmTxVEDnxzBg73rcQA/viewform,https://docs.google.com/spreadsheets/d/1hJxJSCKvCr0SBdR7ifF0m56SD8OA4s42upJ5zxvYfbs,6,s54/a1,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQMi0lGprju6SQld55T6aHk77RvEnkncWJ6YnGOOhc435GLF_pT5WXgnPIDgLBC70FqsGH0-Bdn7oG4/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vQMi0lGprju6SQld55T6aHk77RvEnkncWJ6YnGOOhc435GLF_pT5WXgnPIDgLBC70FqsGH0-Bdn7oG4/pubhtml,TRUE,"<div id=""A1"" class=""current-standings filterDiv divA""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQMi0lGprju6SQld55T6aHk77RvEnkncWJ6YnGOOhc435GLF_pT5WXgnPIDgLBC70FqsGH0-Bdn7oG4/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
B1,https://docs.google.com/forms/d/e/1FAIpQLSfOwcyeuZ-Y2qIs-DARLVKyM539hWuauBafedIIY7rx12CkGg/viewform,https://docs.google.com/spreadsheets/d/1L2BTqAMDNq9PlKalpKcBQK8uG5l5SF8JrLuLJxQOr5I,7,s54/b1,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRYDBFVJy7btqTm9pGdj8Dncr82mW9G1rm9icL0laa8hTcMo_uNtpJ9TnUACf_mA8x7YC6RFjSRBgQ2/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vRYDBFVJy7btqTm9pGdj8Dncr82mW9G1rm9icL0laa8hTcMo_uNtpJ9TnUACf_mA8x7YC6RFjSRBgQ2/pubhtml,TRUE,"<div id=""B1"" class=""current-standings filterDiv divB""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRYDBFVJy7btqTm9pGdj8Dncr82mW9G1rm9icL0laa8hTcMo_uNtpJ9TnUACf_mA8x7YC6RFjSRBgQ2/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
B2,https://docs.google.com/forms/d/e/1FAIpQLSfa1XvyYbRH4Dn36nbWCs-9s6ItAE-UYdlH8GS9tPEYLwt6Uw/viewform,https://docs.google.com/spreadsheets/d/1jlfyohQK280EmH0-miuMUi4AGA1Hp_HS_x7rFrl9XP0,6,s54/b2,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vS7d2INhWyN3OiiSfqG_7omoC2f4EPro_5I15zB4euFIFJzN4MNbD8zLFKUzIba3KEtJYYJRUYXNJwo/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vS7d2INhWyN3OiiSfqG_7omoC2f4EPro_5I15zB4euFIFJzN4MNbD8zLFKUzIba3KEtJYYJRUYXNJwo/pubhtml,TRUE,"<div id=""B2"" class=""current-standings filterDiv divB""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vS7d2INhWyN3OiiSfqG_7omoC2f4EPro_5I15zB4euFIFJzN4MNbD8zLFKUzIba3KEtJYYJRUYXNJwo/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
C1,https://docs.google.com/forms/d/e/1FAIpQLSfROLuk1iMlrQcwYpY9ppW9af2LdRUcGYb1AmZqJd-D2V3u9A/viewform,https://docs.google.com/spreadsheets/d/1d6dRDseu8I-Dxwv7TW3OhwZppq4Osjh9OhS0Uwuskw0,6,s54/c1,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQuR_rXhn5bDTILawCnug0uC-u6v7cvfRo-Mqh6bhimVTHQNaJiiVjAJq82Q2rzmkX477TPsu5fw4l_/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vQuR_rXhn5bDTILawCnug0uC-u6v7cvfRo-Mqh6bhimVTHQNaJiiVjAJq82Q2rzmkX477TPsu5fw4l_/pubhtml,TRUE,"<div id=""C1"" class=""current-standings filterDiv divC""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQuR_rXhn5bDTILawCnug0uC-u6v7cvfRo-Mqh6bhimVTHQNaJiiVjAJq82Q2rzmkX477TPsu5fw4l_/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
C2,https://docs.google.com/forms/d/e/1FAIpQLSeHrMyTkJBkFDDm0_KjTMcO7EifcFAOXoBmwFqt2K-A4M-zvQ/viewform,https://docs.google.com/spreadsheets/d/1G06SwH-OMLzsbeSZcISVZNmY91ZoFf_HNiJ-RWSrAo8,6,s54/c2,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSj0M2-DN4P6LXkXtZ704_Xe_ASw9N_2B049mF3QEuddRr3CupDqFnkjsjh6XscACQ5j55SvkimqXp5/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vSj0M2-DN4P6LXkXtZ704_Xe_ASw9N_2B049mF3QEuddRr3CupDqFnkjsjh6XscACQ5j55SvkimqXp5/pubhtml,TRUE,"<div id=""C2"" class=""current-standings filterDiv divC""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSj0M2-DN4P6LXkXtZ704_Xe_ASw9N_2B049mF3QEuddRr3CupDqFnkjsjh6XscACQ5j55SvkimqXp5/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
C3,https://docs.google.com/forms/d/e/1FAIpQLSfx4RHLY79B_s2fML7UwhflN4MAr51SvxQ49h-LD63ECJbrjg/viewform,https://docs.google.com/spreadsheets/d/1KdXD2d-LAlUqmL3YGpMSwnoGa-oeGKi1KZvfSMVSr3w,6,s54/c3,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQSg3ceg8jr45b7GFF8hquhNN4j19WMejEYHUJOqCRAk03KodAr-JTvcbYYTphZ9hGsmT-6yMyw08OO/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vQSg3ceg8jr45b7GFF8hquhNN4j19WMejEYHUJOqCRAk03KodAr-JTvcbYYTphZ9hGsmT-6yMyw08OO/pubhtml,TRUE,"<div id=""C3"" class=""current-standings filterDiv divC""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQSg3ceg8jr45b7GFF8hquhNN4j19WMejEYHUJOqCRAk03KodAr-JTvcbYYTphZ9hGsmT-6yMyw08OO/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
C4,https://docs.google.com/forms/d/e/1FAIpQLSdAb_g6McCPO2mrCWcDxOgcUNt7smm0S5T3-ovEWstHo9OS3g/viewform,https://docs.google.com/spreadsheets/d/1cFiH81t05pY9Cgl2R5Gn22nN--DnA2sVd9lMwLxz1rE,6,s54/c4,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQFaVpVDwKxEnX-Hsymy8serWO27dVB5tH9W3fNcJMuUrucNfr9ZaEkA_wslAtVeRgOYsPjTq6Sx1nB/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vQFaVpVDwKxEnX-Hsymy8serWO27dVB5tH9W3fNcJMuUrucNfr9ZaEkA_wslAtVeRgOYsPjTq6Sx1nB/pubhtml,TRUE,"<div id=""C4"" class=""current-standings filterDiv divC""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQFaVpVDwKxEnX-Hsymy8serWO27dVB5tH9W3fNcJMuUrucNfr9ZaEkA_wslAtVeRgOYsPjTq6Sx1nB/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
D1,https://docs.google.com/forms/d/e/1FAIpQLScvBeQ04PwBRCv_GfbX6PG6rnI4Ewg_NspIjR4wyOFGVC6Xfg/viewform,https://docs.google.com/spreadsheets/d/1PISgypewwirRXj-fb3T1A1l8KZh9pSVuUA46Lb-Bv8k,7,s54/d1,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vS9nsuUlQajWYf6T6kSOUB33rRZJSyGyiJbf0i-4DLQYJJKXsrofcVj1dD2X46ktsXYj1TaG-iywUGq/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vS9nsuUlQajWYf6T6kSOUB33rRZJSyGyiJbf0i-4DLQYJJKXsrofcVj1dD2X46ktsXYj1TaG-iywUGq/pubhtml,TRUE,"<div id=""D1"" class=""current-standings filterDiv divD""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vS9nsuUlQajWYf6T6kSOUB33rRZJSyGyiJbf0i-4DLQYJJKXsrofcVj1dD2X46ktsXYj1TaG-iywUGq/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
D2,https://docs.google.com/forms/d/e/1FAIpQLSegVS9EaQH5N8RMPlbMtO7WHHO6wPKhOByc2bdbxWdBO25-HA/viewform,https://docs.google.com/spreadsheets/d/1chBAVPLvzZYFIEyzj3KOnTYpujbTh3sFSYijI_ppxiI,6,s54/d2,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTXOtygorcux01x3k7SF6At_7VIDgrBewsFNF9f-xm8_ABCCedsgPvo0ndBos_o4lxL3OoQvKh8IXFO/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vTXOtygorcux01x3k7SF6At_7VIDgrBewsFNF9f-xm8_ABCCedsgPvo0ndBos_o4lxL3OoQvKh8IXFO/pubhtml,TRUE,"<div id=""D2"" class=""current-standings filterDiv divD""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTXOtygorcux01x3k7SF6At_7VIDgrBewsFNF9f-xm8_ABCCedsgPvo0ndBos_o4lxL3OoQvKh8IXFO/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
D3,https://docs.google.com/forms/d/e/1FAIpQLSc-S_LFvOFzVxmpYcqQu5EYErCzGKMMg14kk3toO89bk_HZPg/viewform,https://docs.google.com/spreadsheets/d/1HvwmpI6b2W4fJjunT6gYt4ng7wNksjBWkSYdl8hdaNA,6,s54/d3,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTTmB-bsidI11W4L88DQgQzIXyWypPFlwNPgrHKt4HHbQ6lFxX-GUERf6j7_YYMbKUDqYPuPvTOm-N8/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vTTmB-bsidI11W4L88DQgQzIXyWypPFlwNPgrHKt4HHbQ6lFxX-GUERf6j7_YYMbKUDqYPuPvTOm-N8/pubhtml,TRUE,"<div id=""D3"" class=""current-standings filterDiv divD""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTTmB-bsidI11W4L88DQgQzIXyWypPFlwNPgrHKt4HHbQ6lFxX-GUERf6j7_YYMbKUDqYPuPvTOm-N8/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
