Div,Form,Spreadsheet,#,Slug,Done,Checked,Embed Standings,Display Standings,Promotion Scheme,To copy to website
A1,https://docs.google.com/forms/d/e/1FAIpQLSc5qqepwDj3wucKbBrUWb5PV7vSpnGdvSleyctlq8Iax54xLQ/viewform,https://docs.google.com/spreadsheets/d/1e80Hr9-11OEd4pk55u0uTppSnZih3sX1d-ekCmOe9Bs,7,s57/a1,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSHLvrdl1gZAi8Pqy7u9BihubzyWa-DdABePK4j0o0xh8M3mQ-1SI11dx9DB2NWwjgXIAaOAsCcps1H/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vSHLvrdl1gZAi8Pqy7u9BihubzyWa-DdABePK4j0o0xh8M3mQ-1SI11dx9DB2NWwjgXIAaOAsCcps1H/pubhtml,TRUE,"<div id=""A1"" class=""current-standings filterDiv divA""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSHLvrdl1gZAi8Pqy7u9BihubzyWa-DdABePK4j0o0xh8M3mQ-1SI11dx9DB2NWwjgXIAaOAsCcps1H/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
B1,https://docs.google.com/forms/d/e/1FAIpQLSe50VNx2Z7_P_G6wVuKP47Byz_qXG5E-r725-llZzc1a6NbCA/viewform,https://docs.google.com/spreadsheets/d/1t79HtAq81G32Y6qhvzd4UiwhUa8zLL9PFVjciLC05g4,6,s57/b1,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTHUCB_ptiNjQm3v6m9QWwV872piJzLuum0kxuzM8YRuI61bJpOrou76ZbGDzR-q5I8BzONiA3FpW_A/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vTHUCB_ptiNjQm3v6m9QWwV872piJzLuum0kxuzM8YRuI61bJpOrou76ZbGDzR-q5I8BzONiA3FpW_A/pubhtml,TRUE,"<div id=""B1"" class=""current-standings filterDiv divB""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTHUCB_ptiNjQm3v6m9QWwV872piJzLuum0kxuzM8YRuI61bJpOrou76ZbGDzR-q5I8BzONiA3FpW_A/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
B2,https://docs.google.com/forms/d/e/1FAIpQLSewTBho2KX2xZfblROpRKaVFrJEhSgyeD7PxRt7_hhJHQaBNg/viewform,https://docs.google.com/spreadsheets/d/14g4g1ia-KiYbHZFSmJ7O7Torxr7P8iYGbEFJhpjDFnc,6,s57/b2,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTUJsPYCvhXKEaUa46NvOtXYVkyvNSaJVMfyrUi_DPnaq13awZanbZUb78CdKy9h50FvzlRV2zcb6Kv/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vTUJsPYCvhXKEaUa46NvOtXYVkyvNSaJVMfyrUi_DPnaq13awZanbZUb78CdKy9h50FvzlRV2zcb6Kv/pubhtml,TRUE,"<div id=""B2"" class=""current-standings filterDiv divB""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTUJsPYCvhXKEaUa46NvOtXYVkyvNSaJVMfyrUi_DPnaq13awZanbZUb78CdKy9h50FvzlRV2zcb6Kv/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
C1,https://docs.google.com/forms/d/e/1FAIpQLSdhTS7ftSXVr0IKJs8ZBajPU_s5c--Vi2D9TAvJJzqC5IvrJw/viewform,https://docs.google.com/spreadsheets/d/1g5EWi2CMUGEaOKO86-HQsZI26zj8CZcZAj6OGmfhnXs,6,s57/c1,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTxUmIoVzCEuBhZbeJVm4v7Zpd-ES9oX7zKMEuvo-GAz6WkjNlMqBCO76iN4Sz3wD2Dh0LYMhGfat5W/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vTxUmIoVzCEuBhZbeJVm4v7Zpd-ES9oX7zKMEuvo-GAz6WkjNlMqBCO76iN4Sz3wD2Dh0LYMhGfat5W/pubhtml,TRUE,"<div id=""C1"" class=""current-standings filterDiv divC""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTxUmIoVzCEuBhZbeJVm4v7Zpd-ES9oX7zKMEuvo-GAz6WkjNlMqBCO76iN4Sz3wD2Dh0LYMhGfat5W/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
C2,https://docs.google.com/forms/d/e/1FAIpQLSd_7Wy1gozbXiRDgvmfMbzn2vxH6frS_hn-Al8hXq_wLWNhjQ/viewform,https://docs.google.com/spreadsheets/d/1p9pbTR6UZqXFhGjmGgdorXLNNTwAsiE9DZeSHrSpy8Q,6,s57/c2,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSI8NARF8y54W3TQ_w9_TNOewlDCc7BbW2H_82YVLB05N9VP8F9BK803WuN6wl3f24aVhTn8_r1Ed9M/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vSI8NARF8y54W3TQ_w9_TNOewlDCc7BbW2H_82YVLB05N9VP8F9BK803WuN6wl3f24aVhTn8_r1Ed9M/pubhtml,TRUE,"<div id=""C2"" class=""current-standings filterDiv divC""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSI8NARF8y54W3TQ_w9_TNOewlDCc7BbW2H_82YVLB05N9VP8F9BK803WuN6wl3f24aVhTn8_r1Ed9M/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
C3,https://docs.google.com/forms/d/e/1FAIpQLSfOI0h4MqVILQqA7ved4F-j7vUQ_ERfYYihqEyfADPkvVU8Hg/viewform,https://docs.google.com/spreadsheets/d/1nUXFetTZf8pyDt7xcR6LpoivG8xH2g_ipVahWUdHtWk,6,s57/c3,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSV_rAbmXRWrwnNB8QsCbyFnMztJp1eBguRISN7T70rz_KhxDgn0wB9Jx63aiEG4jsAO169vtmre0Q5/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vSV_rAbmXRWrwnNB8QsCbyFnMztJp1eBguRISN7T70rz_KhxDgn0wB9Jx63aiEG4jsAO169vtmre0Q5/pubhtml,TRUE,"<div id=""C3"" class=""current-standings filterDiv divC""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSV_rAbmXRWrwnNB8QsCbyFnMztJp1eBguRISN7T70rz_KhxDgn0wB9Jx63aiEG4jsAO169vtmre0Q5/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
C4,https://docs.google.com/forms/d/e/1FAIpQLSerJ8SpIgOqGTVmtYcpGb054BWw4fWtqkFuMLmCdaHhugCU7Q/viewform,https://docs.google.com/spreadsheets/d/1gHGFbGfWNq-CMkncw_VpoXt5_lv_NpPfX1obTBTOL4I,6,s57/c4,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQnnAABiRyCgIfQRWfmTpmzxnFuF3mqasUx4PKsLu17DqmJxtagLCJIET7NL9U7xVBksLlRwCu8XYwI/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vQnnAABiRyCgIfQRWfmTpmzxnFuF3mqasUx4PKsLu17DqmJxtagLCJIET7NL9U7xVBksLlRwCu8XYwI/pubhtml,TRUE,"<div id=""C4"" class=""current-standings filterDiv divC""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQnnAABiRyCgIfQRWfmTpmzxnFuF3mqasUx4PKsLu17DqmJxtagLCJIET7NL9U7xVBksLlRwCu8XYwI/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
D1,https://docs.google.com/forms/d/e/1FAIpQLSclrXJTieIJdBR1N1VDpVBz674KYFDXa03ebiPSUwXYoBZDWA/viewform,https://docs.google.com/spreadsheets/d/1ctHrHGwlIY7jI85eqNAde8Pz5LsLWoc8wHaTSUN5aKQ,6,s57/d1,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQSjHQHnp0-nVEyyzkZopHYrqfFy_TM9IeZaZQP9eR454fk1AK6CGW4MkZRA8Ve-Jd-hNjTJTTXKTN2/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vQSjHQHnp0-nVEyyzkZopHYrqfFy_TM9IeZaZQP9eR454fk1AK6CGW4MkZRA8Ve-Jd-hNjTJTTXKTN2/pubhtml,TRUE,"<div id=""D1"" class=""current-standings filterDiv divD""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQSjHQHnp0-nVEyyzkZopHYrqfFy_TM9IeZaZQP9eR454fk1AK6CGW4MkZRA8Ve-Jd-hNjTJTTXKTN2/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
D2,https://docs.google.com/forms/d/e/1FAIpQLSd2aHBxRm09ZQyLPrNeT7aazXKV6ma3_AIBwl0tRChtHn8nTA/viewform,https://docs.google.com/spreadsheets/d/1nrVtgQT56XVj9vgcv8Lj9Hyrq3SOgFwd7TTt55D4iCo,6,s57/d2,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQhJOrQRN5QQv8lsJDRbbG58lWuKkdbrIpmSFbFi3_k83kPlLQS0wTHOp4Vh1KEuxRfDNHS-jwJQekj/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vQhJOrQRN5QQv8lsJDRbbG58lWuKkdbrIpmSFbFi3_k83kPlLQS0wTHOp4Vh1KEuxRfDNHS-jwJQekj/pubhtml,TRUE,"<div id=""D2"" class=""current-standings filterDiv divD""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQhJOrQRN5QQv8lsJDRbbG58lWuKkdbrIpmSFbFi3_k83kPlLQS0wTHOp4Vh1KEuxRfDNHS-jwJQekj/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
D3,https://docs.google.com/forms/d/e/1FAIpQLSeDTdm1YfafGXxK_HLZgsLDLLvMMaYkmi54lsVn5hqUs1IAMw/viewform,https://docs.google.com/spreadsheets/d/1H08omTTYHdCoVU5oi_9k5POs9IacI0y6JXZGaurHc4c,6,s57/d3,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSZxDTthzm5KAhWaeNu7jWxtKOBGiYnUm4mJvYjKn5mCe6M1k-79zo8hi1pgRwNYU92ub07Y6z0hanz/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vSZxDTthzm5KAhWaeNu7jWxtKOBGiYnUm4mJvYjKn5mCe6M1k-79zo8hi1pgRwNYU92ub07Y6z0hanz/pubhtml,TRUE,"<div id=""D3"" class=""current-standings filterDiv divD""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSZxDTthzm5KAhWaeNu7jWxtKOBGiYnUm4mJvYjKn5mCe6M1k-79zo8hi1pgRwNYU92ub07Y6z0hanz/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
