Player,S#,Division,Tier,Position,Win %
Sydyk,34,F3,F,3,39%
hbockerman,34,F3,F,4,28%
trollolol,34,F4,F,1,77%
seele,34,F4,F,2,52%
Aharow21,34,F4,F,3,50%
gomez70,34,F4,F,4,44%
socally,34,F4,F,5,27%
aschner,34,F5,F,1,88%
bjtait15,34,F5,F,2,58%
Guynexdoor,34,F5,F,3,44%
PrimitivePainter,34,F5,F,4,42%
Drimple,34,F5,F,5,19%
Jimbuck,34,F6,F,1,78%
jrh150482,34,F6,F,2,44%
batmanthehorse,34,F6,F,3,42%
UrielGR,34,F6,F,4,36%
Snowdrop,34,F7,F,1,79%
MelbaToast,34,F7,F,2,58%
Witz,34,F7,F,3,50%
schorn,34,F7,F,4,40%
SageJude,34,F7,F,5,23%
BBQ_Nutt,34,F8,F,1,73%
vmaria22,34,F8,F,2,63%
Stadiumite,34,F8,F,3,53%
BuffaloBill19,34,F8,F,4,47%
Schucity,34,F8,F,5,40%
Book Baker,34,F8,F,6,23%
TamaraDorn,34,F9,F,1,88%
helpIhearSomone,34,F9,F,2,67%
scheffc,34,F9,F,3,42%
mbp,34,F9,F,4,38%
Greta_X,34,F9,F,5,17%
mozviking,34,F10,F,1,60%
jimbobrady,34,F10,F,2,58%
Shiloh88,34,F10,F,3,57%
GabrielHansberry,34,F10,F,4,50%
UNBR34K4BL3,34,F10,F,5,42%
bell22,34,F10,F,6,33%
Darantius,34,F11,F,1,75%
dxter327,34,F11,F,2,69%
Faeael,34,F11,F,3,48%
rizzymoe,34,F11,F,4,35%
talenarenee,34,F11,F,5,23%
noisenow42,34,F12,F,1,78%
Sarcyn,34,F12,F,2,56%
NoDaLie,34,F12,F,3,39%
Huxin,34,F12,F,4,28%
phy phor,34,F13,F,1,67%
OG Patrik,34,F13,F,2,61%
Josh287,34,F13,F,3,39%
Usernamegottaken,34,F13,F,4,33%
jordana,34,F14,F,1,63%
lui86,34,F14,F,2,62%
eh1414,34,F14,F,3,46%
Kokoszkabut,34,F14,F,4,43%
InspiringLeader,34,F14,F,5,30%
SmashUrComputrz,34,F14,F,6,56%
napoleon1805,34,F15,F,1,73%
iparres,34,F15,F,2,71%
Ray-am83,34,F15,F,3,42%
LuzC,34,F15,F,4,38%
Denise,34,F15,F,5,27%
tracer,33,A1,A,1,60%
RTT,33,A1,A,2,53%
markus,33,A1,A,3,53%
singletee,33,A1,A,4,52%
E.Honda,33,A1,A,5,50%
topher1588,33,A1,A,6,32%
Seprix,33,B1,B,1,63%
Burning Skull,33,B1,B,2,57%
SamE,33,B1,B,3,55%
Bryan,33,B1,B,4,48%
elementmario222,33,B1,B,5,38%
amoffett11,33,B1,B,6,38%
aku chi,33,B2,B,1,55%
gamesou,33,B2,B,2,55%
kaplane,33,B2,B,3,55%
nasmith99,33,B2,B,4,47%
xyrix,33,B2,B,5,45%
wharf_rat,33,B2,B,6,43%
drsteelhammer,33,C1,C,1,73%
DG,33,C1,C,2,53%
Qvist,33,C1,C,3,47%
Tathibel,33,C1,C,4,47%
707090,33,C1,C,5,42%
Chris is me,33,C1,C,6,38%
HvBoedefeld,33,C2,C,1,68%
Lemonspawn,33,C2,C,2,53%
skumpy,33,C2,C,3,48%
xtruffles,33,C2,C,4,47%
ospond,33,C2,C,5,43%
GreyEK,33,C2,C,6,40%
hakha3,33,C3,C,1,77%
soccerisfun,33,C3,C,2,60%
swordfishtrombone,33,C3,C,3,58%
rsilverstein12,33,C3,C,4,48%
Jean-Michel,33,C3,C,5,35%
jmjjmj,33,C3,C,6,22%
mikechike,33,C4,C,1,65%
Schlafi,33,C4,C,2,58%
Rabid,33,C4,C,3,50%
MVP,33,C4,C,4,50%
Anders,33,C4,C,5,47%
penguin7272,33,C4,C,6,30%
Apostolosoruler,33,D1,D,1,62%
coinflip,33,D1,D,2,60%
Inconspicuouspanda,33,D1,D,3,58%
tufftaeh,33,D1,D,4,50%
Ingix,33,D1,D,5,47%
harkne,33,D1,D,6,23%
LaLight,33,D2,D,1,73%
benten,33,D2,D,2,52%
BRoh,33,D2,D,3,48%
nessuno,33,D2,D,4,40%
belov,33,D2,D,5,38%
Eckbert,33,D3,D,1,67%
Micha1980,33,D3,D,2,61%
heth,33,D3,D,3,44%
christensendrg,33,D3,D,4,28%
Jzahl0301,33,D4,D,1,60%
Cave-o-sapien,33,D4,D,2,57%
Miaww,33,D4,D,3,57%
Earl,33,D4,D,4,57%
arishipshape,33,D4,D,5,40%
anciao,33,D4,D,6,30%
Fircoal,33,D5,D,1,60%
crabcat2,33,D5,D,2,58%
Personman,33,D5,D,3,54%
MooooCow,33,D5,D,4,46%
crlundy,33,D5,D,5,31%
bobbydj18,33,D6,D,1,78%
kaz_150,33,D6,D,2,62%
missouriben,33,D6,D,3,52%
alion8me,33,D6,D,4,42%
alibby1152,33,D6,D,5,37%
hissingfauna,33,D6,D,6,30%
Jake Abdalla,33,D7,D,1,67%
fiercelord,33,D7,D,2,67%
lrlusher,33,D7,D,3,48%
billdacat,33,D7,D,4,38%
real77,33,D7,D,5,31%
A Drowned Kernel,33,D8,D,1,65%
Sharur,33,D8,D,2,58%
pova,33,D8,D,3,47%
eskoglund,33,D8,D,4,45%
DividedSpy,33,D8,D,5,58%
Lectorslunchable,33,D8,D,6,27%
Magyi,33,E1,E,1,70%
Gasku,33,E1,E,2,70%
Therapist,33,E1,E,3,60%
Bonxie,33,E1,E,4,50%
Hrubio,33,E1,E,5,33%
jonvs,33,E1,E,6,17%
robertox,33,E2,E,1,85%
Indidindi,33,E2,E,2,48%
tsin95,33,E2,E,3,47%
vespa,33,E2,E,4,42%
grebst,33,E2,E,5,40%
LuzC,33,E2,E,6,38%
Sharapopovamaria,33,E3,E,1,63%
mikedolph,33,E3,E,2,63%
Ares,33,E3,E,3,57%
donutsallday,33,E3,E,4,43%
budzor022,33,E3,E,5,40%
jordana,33,E3,E,6,33%
Steinways,33,E4,E,1,63%
Malta,33,E4,E,2,63%
okurka,33,E4,E,3,60%
marfik57,33,E4,E,4,43%
chrismertens,33,E4,E,5,35%
phy phor,33,E4,E,6,35%
della,33,E5,E,1,68%
Cattallia,33,E5,E,2,53%
vlatkam,33,E5,E,3,45%
3547747,33,E5,E,4,43%
zwiebacke,33,E5,E,5,32%
Joe Cool,33,E5,E,6,58%
hailimundo,33,E6,E,1,65%
andc,33,E6,E,2,52%
TonyWild,33,E6,E,3,50%
hierarch,33,E6,E,4,33%
lebronjon,33,E6,E,5,51%
Briguy__,33,E7,E,1,75%
connerevans,33,E7,E,2,58%
JudeanPeoplesFront,33,E7,E,3,53%
Briawna,33,E7,E,4,47%
csy99,33,E7,E,5,38%
bell22,33,E7,E,6,28%
bizaff,33,E8,E,1,62%
BostonQuad,33,E8,E,2,60%
folivora,33,E8,E,3,53%
Filbert66,33,E8,E,4,47%
TrinaCat,33,E8,E,5,42%
ddrmaster1216,33,E8,E,6,37%
andy7675,33,E9,E,1,67%
AJay887,33,E9,E,2,60%
GaryOfPgh2,33,E9,E,3,58%
jwallbaum,33,E9,E,4,47%
jc645,33,E9,E,5,40%
madronefive,33,E9,E,6,28%
geokarlaw,33,E10,E,1,58%
thesunfan,33,E10,E,2,58%
DDL,33,E10,E,3,58%
dornado,33,E10,E,4,50%
duhmark,33,E10,E,5,47%
tanigross,33,E10,E,6,25%
Chambeco,33,E11,E,1,67%
scolapasta,33,E11,E,2,58%
jgoyes,33,E11,E,3,48%
Kya,33,E11,E,4,42%
shaila,33,E11,E,5,35%
Diggler7,33,E12,E,1,60%
iMAGO,33,E12,E,2,60%
caleb.grim,33,E12,E,3,58%
C_Roy8,33,E12,E,4,53%
rtbrice,33,E12,E,5,35%
Jimbuck,33,E12,E,6,33%
counto,33,E13,E,1,65%
barbazul,33,E13,E,2,65%
schnaigs,33,E13,E,3,48%
jcmatador21,33,E13,E,4,44%
tpollak,33,E13,E,5,29%
MeNowDealWithIt,33,E14,E,1,85%
pwu55,33,E14,E,2,57%
alexgor23,33,E14,E,3,48%
Theta.Chi,33,E14,E,4,38%
wacton1,33,E14,E,5,37%
mjlitz,33,E14,E,6,35%
nottoobad,33,E15,E,1,70%
notmorenames,33,E15,E,2,65%
CoweringCow,33,E15,E,3,48%
shylax,33,E15,E,4,47%
seekermd,33,E15,E,5,37%
khz,33,E15,E,6,33%
MtMagus,33,E16,E,1,67%
UltimateGeek,33,E16,E,2,58%
RICHARDNIXON,33,E16,E,3,57%
halishuman,33,E16,E,4,47%
sdrawkcab,33,E16,E,5,38%
Ravenshard,33,E16,E,6,33%
cruiskeen,33,F1,F,1,67%
iparres,33,F1,F,2,67%
noisenow42,33,F1,F,3,63%
kosmonowt,33,F1,F,4,29%
Pinschi,33,F1,F,5,25%
ekgj,33,F2,F,1,63%
eh1414,33,F2,F,2,60%
Huxin,33,F2,F,3,60%
InspiringLeader,33,F2,F,4,33%
GMoney597,33,F2,F,5,33%
andothergames,33,F3,F,1,72%
vuzman,33,F3,F,2,62%
Ray-am83,33,F3,F,3,52%
Denise,33,F3,F,4,50%
G.Xi.Wan,33,F3,F,5,38%
Usernamegottaken,33,F3,F,6,27%
Beth,33,F4,F,1,63%
Faeael,33,F4,F,2,57%
dxter327,33,F4,F,3,53%
militia,33,F4,F,4,48%
rizzymoe,33,F4,F,5,42%
talenarenee,33,F4,F,6,37%
Shump,33,F5,F,1,70%
stonedmason,33,F5,F,2,60%
jdizzle111,33,F5,F,3,57%
jonnyx913,33,F5,F,4,53%
mozviking,33,F5,F,5,33%
Eldrich,33,F5,F,6,27%
erinblack,33,F6,F,1,72%
centauri,33,F6,F,2,63%
GabrielHansberry,33,F6,F,3,62%
UNBR34K4BL3,33,F6,F,4,48%
ValenarS,33,F6,F,5,28%
Crazyjok3r,33,F6,F,6,27%
blackknight1,33,F7,F,1,67%
TamaraDorn,33,F7,F,2,60%
UrielGR,33,F7,F,3,46%
mbp,33,F7,F,4,40%
jimbobrady,33,F7,F,5,38%
Hamlet the Dane,33,F8,F,1,67%
Schucity,33,F8,F,2,61%
gomez70,33,F8,F,3,36%
SageJude,33,F8,F,4,36%
Nikkicola11,33,F9,F,1,67%
vmaria22,33,F9,F,2,60%
MelbaToast,33,F9,F,3,57%
douglastaylor,33,F9,F,4,47%
Stadiumite,33,F9,F,5,43%
AbigailAdams,33,F9,F,6,27%
hoget10,33,F10,F,1,83%
jrh150482,33,F10,F,2,50%
Guynexdoor,33,F10,F,3,33%
paddlingirlnj,33,F10,F,4,33%
Moonshadow70,33,F11,F,1,60%
thegoldeneel,33,F11,F,2,54%
severly,33,F11,F,3,50%
trollolol,33,F11,F,4,46%
batmanthehorse,33,F11,F,5,40%
Savaahn,33,F12,F,1,63%
Battleslash,33,F12,F,2,60%
gdpoythr,33,F12,F,3,52%
madeofbees,33,F12,F,4,50%
hlaw15,33,F12,F,5,42%
Carduelis28,33,F12,F,6,32%
supernick,33,F13,F,1,73%
bjtait15,33,F13,F,2,63%
Witz,33,F13,F,3,52%
jazanne,33,F13,F,4,47%
Book Baker,33,F13,F,5,45%
hbockerman,33,F13,F,6,20%
nietsxela,33,F14,F,1,80%
levisball,33,F14,F,2,57%
schorn,33,F14,F,3,55%
Snowdrop,33,F14,F,4,43%
qznaught,33,F14,F,5,37%
Aharow21,33,F14,F,6,28%
markus,32,A1,A,1,68%
tracer,32,A1,A,2,57%
singletee,32,A1,A,3,52%
RTT,32,A1,A,4,43%
Sicomatic,32,A1,A,5,43%
gamesou,32,A1,A,6,37%
E.Honda,32,B1,B,1,62%
ceviri,32,B1,B,2,52%
xyrix,32,B1,B,3,52%
amoffett11,32,B1,B,4,48%
mikechike,32,B1,B,5,43%
GreyEK,32,B1,B,6,43%
topher1588,32,B2,B,1,63%
aku chi,32,B2,B,2,58%
SamE,32,B2,B,3,53%
Bryan,32,B2,B,4,52%
kaplane,32,B2,B,5,50%
skumpy,32,B2,B,6,23%
Seprix,32,C1,C,1,67%
MVP,32,C1,C,2,57%
swordfishtrombone,32,C1,C,3,53%
ospond,32,C1,C,4,48%
Sharur,32,C1,C,5,40%
Cave-o-sapien,32,C1,C,6,35%
Burning Skull,32,C2,C,1,73%
wharf_rat,32,C2,C,2,63%
Tathibel,32,C2,C,3,63%
rsilverstein12,32,C2,C,4,43%
tufftaeh,32,C2,C,5,30%
coinflip,32,C2,C,6,27%
nasmith99,32,C3,C,1,70%
heron,32,C3,C,2,57%
Anders,32,C3,C,3,57%
Chris is me,32,C3,C,4,47%
Personman,32,C3,C,5,43%
BRoh,32,C3,C,6,27%
elementmario222,32,C4,C,1,63%
Rabid,32,C4,C,2,60%
Jean-Michel,32,C4,C,3,57%
Lemonspawn,32,C4,C,4,50%
nessuno,32,C4,C,5,40%
jp gerber,32,C4,C,6,30%
JakeTheZipper,32,D1,D,1,77%
fiercelord,32,D1,D,2,62%
hissingfauna,32,D1,D,3,50%
eskoglund,32,D1,D,4,43%
creinman,32,D1,D,5,38%
GaryOfPgh2,32,D1,D,6,30%
penguin7272,32,D2,D,1,63%
Earl,32,D2,D,2,63%
bobbydj18,32,D2,D,3,57%
pova,32,D2,D,4,50%
MeNowDealWithIt,32,D2,D,5,43%
dornado,32,D2,D,6,23%
jmjjmj,32,D3,D,1,70%
kaz_150,32,D3,D,2,57%
Harmar,32,D3,D,3,53%
ibavly,32,D3,D,4,53%
dragoonkain,32,D3,D,5,37%
Sunsfan69420,32,D3,D,6,30%
soccerisfun,32,D4,D,1,73%
crlundy,32,D4,D,2,60%
lrlusher,32,D4,D,3,57%
Dylan32,32,D4,D,4,40%
jc645,32,D4,D,5,37%
theballgame,32,D4,D,6,33%
707090,32,D5,D,1,73%
v_x,32,D5,D,2,62%
ricardo.thaler,32,D5,D,3,48%
crabcat2,32,D5,D,4,43%
Diggler7,32,D5,D,5,40%
UltimateGeek,32,D5,D,6,33%
hakha3,32,D6,D,1,77%
Dr.Kondor,32,D6,D,2,65%
Apostolosoruler,32,D6,D,3,50%
Ingix,32,D6,D,4,45%
robertox,32,D6,D,5,33%
Sharapopovamaria,32,D6,D,6,30%
Qvist,32,D7,D,1,63%
qmech,32,D7,D,2,53%
heth,32,D7,D,3,47%
Terry Pearce,32,D7,D,4,47%
della,32,D7,D,5,47%
k1511asd,32,D7,D,6,43%
DG,32,D8,D,1,73%
Schlafi,32,D8,D,2,69%
christensendrg,32,D8,D,3,42%
Micha1980,32,D8,D,4,38%
Magyi,32,D8,D,5,29%
mstang107,32,E1,E,1,83%
CoweringCow,32,E1,E,2,50%
notmorenames,32,E1,E,3,39%
jrsaba,32,E1,E,4,28%
A Drowned Kernel,32,E2,E,1,77%
MtMagus,32,E2,E,2,57%
schnaigs,32,E2,E,3,53%
thesunfan,32,E2,E,4,53%
ttw001,32,E2,E,5,38%
vakira,32,E2,E,6,22%
GMY,32,E3,E,1,71%
rtbrice,32,E3,E,2,58%
srmccorkle,32,E3,E,3,54%
gbay,32,E3,E,4,42%
geokarlaw,32,E3,E,5,25%
billdacat,32,E4,E,1,77%
C_Roy8,32,E4,E,2,63%
karenttrouble,32,E4,E,3,43%
shylax,32,E4,E,4,40%
shaila,32,E4,E,5,40%
Snowdrop,32,E4,E,6,37%
Miaww,32,E5,E,1,80%
Ixul,32,E5,E,2,65%
jcmatador21,32,E5,E,3,53%
Shootthemoon,32,E5,E,4,37%
jgoyes,32,E5,E,5,35%
Squonk2,32,E5,E,6,30%
pacheo,32,E6,E,1,72%
nottoobad,32,E6,E,2,60%
halishuman,32,E6,E,3,57%
barbazul,32,E6,E,4,53%
seekermd,32,E6,E,5,33%
cshutzer,32,E6,E,6,25%
arishipshape,32,E7,E,1,75%
Lectorslunchable,32,E7,E,2,67%
mjlitz,32,E7,E,3,42%
alexgor23,32,E7,E,4,33%
wacton1,32,E7,E,5,31%
goaliechris,32,E7,E,6,52%
alion8me,32,E8,E,1,72%
duhmark,32,E8,E,2,63%
scolapasta,32,E8,E,3,62%
pwu55,32,E8,E,4,53%
caleb.grim,32,E8,E,5,27%
Stadiumite,32,E8,E,6,23%
anciao,32,E9,E,1,67%
zeut,32,E9,E,2,55%
Pizzaelemblast,32,E9,E,3,52%
Chambeco,32,E9,E,4,52%
T Diddys Revenge,32,E9,E,5,42%
Hamlet the Dane,32,E9,E,6,33%
missouriben,32,E10,E,1,75%
Fircoal,32,E10,E,2,72%
connerevans,32,E10,E,3,40%
bell22,32,E10,E,4,37%
The Jesters Girl,32,E10,E,5,37%
erinblack,32,E10,E,6,37%
alibby1152,32,E11,E,1,77%
RICHARDNIXON,32,E11,E,2,60%
BostonQuad,32,E11,E,3,50%
TrinaCat,32,E11,E,4,47%
bizaff,32,E11,E,5,38%
centauri,32,E11,E,6,28%
child_of_the_corn,32,E12,E,1,63%
harkne,32,E12,E,2,63%
okurka,32,E12,E,3,60%
budzor022,32,E12,E,4,57%
phy phor,32,E12,E,5,40%
Beth,32,E12,E,6,17%
konstan78,32,E13,E,1,67%
marfik57,32,E13,E,2,57%
yakfox,32,E13,E,3,57%
cpt_flosta,32,E13,E,4,48%
chrismertens,32,E13,E,5,37%
cruiskeen,32,E13,E,6,35%
Freerk,32,E14,E,1,63%
Hubblebub,32,E14,E,2,58%
jordana,32,E14,E,3,58%
Ares,32,E14,E,4,54%
mikedolph,32,E14,E,5,17%
LaLight,32,E15,E,1,92%
belov,32,E15,E,2,60%
louda,32,E15,E,3,48%
Bonxie,32,E15,E,4,37%
zwiebacke,32,E15,E,5,32%
noisenow42,32,E15,E,6,28%
real77,32,E16,E,1,71%
andc,32,E16,E,2,50%
hierarch,32,E16,E,3,46%
JudeanPeoplesFront,32,E16,E,4,46%
LovesTha,32,E16,E,5,38%
FrenziedHavoc,32,F1,F,1,79%
poppymitt2019,32,F1,F,2,56%
UNBR34K4BL3,32,F1,F,3,54%
hbockerman,32,F1,F,4,29%
alongexpectedparty,32,F1,F,5,32%
jwallbaum,32,F2,F,1,75%
levisball,32,F2,F,2,67%
vmaria22,32,F2,F,3,50%
supernick,32,F2,F,4,38%
jazanne,32,F2,F,5,21%
tanigross,32,F3,F,1,67%
trollolol,32,F3,F,2,65%
Battleslash,32,F3,F,3,46%
qznaught,32,F3,F,4,42%
hoget10,32,F3,F,5,31%
davidstraley94,32,F4,F,1,77%
Witz,32,F4,F,2,63%
schorn,32,F4,F,3,58%
jrh150482,32,F4,F,4,38%
Book Baker,32,F4,F,5,37%
byrdalumnus,32,F4,F,6,27%
tpollak,32,F5,F,1,71%
Jimbuck,32,F5,F,2,71%
bjtait15,32,F5,F,3,54%
batmanthehorse,32,F5,F,4,29%
Guynexdoor,32,F5,F,5,25%
AJay887,32,F6,F,1,63%
nietsxela,32,F6,F,2,54%
Savaahn,32,F6,F,3,50%
gomez70,32,F6,F,4,46%
SageJude,32,F6,F,5,38%
giacomi,32,F7,F,1,73%
Schucity,32,F7,F,2,54%
severly,32,F7,F,3,50%
Nikkicola11,32,F7,F,4,44%
Robear,32,F7,F,5,29%
Filbert66,32,F8,F,1,67%
TamaraDorn,32,F8,F,2,56%
mozviking,32,F8,F,3,39%
stonedmason,32,F8,F,4,39%
csy99,32,F9,F,1,57%
mbp,32,F9,F,2,53%
Shump,32,F9,F,3,50%
palgren,32,F9,F,4,46%
GabrielHansberry,32,F9,F,5,42%
sterlingharris1,32,F9,F,6,53%
Ravenshard,32,F10,F,1,72%
jonesy12,32,F10,F,2,53%
JerTheVillageSmithy,32,F10,F,3,39%
Durgle,32,F10,F,4,36%
ddrmaster1216,32,F11,F,1,52%
MrF,32,F11,F,2,50%
seestonebat,32,F11,F,3,40%
jonnyx913,32,F11,F,4,40%
Good reader,32,F11,F,5,68%
TonyWild,32,F12,F,1,67%
Stevequinn123456,32,F12,F,2,67%
Faeael,32,F12,F,3,63%
LordZedd,32,F12,F,4,38%
Gwen45,32,F12,F,5,37%
Lisa_Lou,32,F12,F,6,28%
Steinways,32,F13,F,1,83%
640er,32,F13,F,2,63%
Usernamegottaken,32,F13,F,3,40%
InspiringLeader,32,F13,F,4,35%
Ray-am83,32,F13,F,5,29%
Malta,32,F14,F,1,75%
eh1414,32,F14,F,2,67%
eselka,32,F14,F,3,8%
Gasku,32,F15,F,1,77%
decksaw,32,F15,F,2,67%
Elsebel,32,F15,F,3,47%
minion_,32,F15,F,4,37%
Huxin,32,F15,F,5,37%
Everdream,32,F15,F,6,37%
Hrubio,32,F16,F,1,70%
vlatkam,32,F16,F,2,60%
iparres,32,F16,F,3,53%
Pinschi,32,F16,F,4,47%
vuzman,32,F16,F,5,40%
Denise,32,F16,F,6,30%
RTT,31,A1,A,1,70%
markus,31,A1,A,2,60%
tracer,31,A1,A,3,57%
singletee,31,A1,A,4,45%
jonts,31,A1,A,5,38%
Bryan,31,A1,A,6,30%
gamesou,31,B1,B,1,53%
Sicomatic,31,B1,B,2,52%
SamE,31,B1,B,3,52%
topher1588,31,B1,B,4,52%
xyrix,31,B1,B,5,50%
Seprix,31,B1,B,6,42%
LimeTime,31,B2,B,1,73%
E.Honda,31,B2,B,2,57%
aku chi,31,B2,B,3,57%
mikechike,31,B2,B,4,43%
gloures,31,B2,B,5,40%
Rabid,31,B2,B,6,30%
Freaky,31,C1,C,1,70%
Burning Skull,31,C1,C,2,65%
Jean-Michel,31,C1,C,3,53%
tufftaeh,31,C1,C,4,52%
Jimmmy,31,C1,C,5,33%
robertox,31,C1,C,6,27%
kaplane,31,C2,C,1,67%
Cave-o-sapien,31,C2,C,2,56%
MVP,31,C2,C,3,48%
Sharur,31,C2,C,4,46%
Micha1980,31,C2,C,5,33%
skumpy,31,C3,C,1,63%
wharf_rat,31,C3,C,2,60%
swordfishtrombone,31,C3,C,3,60%
Personman,31,C3,C,4,42%
heth,31,C3,C,5,38%
Earl,31,C3,C,6,37%
amoffett11,31,C4,C,1,65%
Chris is me,31,C4,C,2,55%
ospond,31,C4,C,3,50%
elementmario222,31,C4,C,4,48%
Qvist,31,C4,C,5,42%
Gazbag,31,C4,C,6,40%
nasmith99,31,D1,D,1,73%
jmjjmj,31,D1,D,2,57%
yakko,31,D1,D,3,53%
ryan.echternacht,31,D1,D,4,47%
missouriben,31,D1,D,5,43%
captaincjones,31,D1,D,6,27%
Lemonspawn,31,D2,D,1,70%
crlundy,31,D2,D,2,57%
lrlusher,31,D2,D,3,53%
Jhaev,31,D2,D,4,50%
RICHARDNIXON,31,D2,D,5,37%
mstang107,31,D2,D,6,33%
jp gerber,31,D3,D,1,71%
theballgame,31,D3,D,2,56%
secretCaveDweller,31,D3,D,3,44%
Dylan32,31,D3,D,4,40%
MtMagus,31,D3,D,5,40%
rsilverstein12,31,D4,D,1,67%
Quickrick,31,D4,D,2,62%
crabcat2,31,D4,D,3,57%
Sunsfan69420,31,D4,D,4,43%
pacheo,31,D4,D,5,40%
MastahMan,31,D4,D,6,32%
jdawson7,31,D5,D,1,72%
707090,31,D5,D,2,61%
bobbydj18,31,D5,D,3,47%
fiercelord,31,D5,D,4,19%
BRoh,31,D6,D,1,73%
DG,31,D6,D,2,67%
hakha3,31,D6,D,3,63%
k1511asd,31,D6,D,4,47%
yakfox,31,D6,D,5,33%
avanderpadt,31,D6,D,6,17%
coinflip,31,D7,D,1,67%
Apostolosoruler,31,D7,D,2,63%
Dr.Kondor,31,D7,D,3,48%
della,31,D7,D,4,45%
belov,31,D7,D,5,42%
presheaf,31,D7,D,6,35%
nessuno,31,D8,D,1,60%
Sharapopovamaria,31,D8,D,2,57%
Magyi,31,D8,D,3,57%
Thwart,31,D8,D,4,45%
thales0,31,D8,D,5,42%
Joe Cool,31,D8,D,6,40%
hissingfauna,31,E1,E,1,67%
CoweringCow,31,E1,E,2,60%
schnaigs,31,E1,E,3,53%
karenttrouble,31,E1,E,4,53%
jcmatador21,31,E1,E,5,47%
Nikkicola11,31,E1,E,6,20%
jc645,31,E2,E,1,62%
billdacat,31,E2,E,2,60%
zeut,31,E2,E,3,60%
Chambeco,31,E2,E,4,48%
monomandan,31,E2,E,5,38%
volfied,31,E2,E,6,32%
MeNowDealWithIt,31,E3,E,1,63%
Lectorslunchable,31,E3,E,2,54%
Boon2,31,E3,E,3,52%
rtbrice,31,E3,E,4,42%
JudeanPeoplesFront,31,E3,E,5,40%
Diggler7,31,E4,E,1,62%
thegilf,31,E4,E,2,57%
TheAgileBeast,31,E4,E,3,53%
barbazul,31,E4,E,4,50%
MusicalRose,31,E4,E,5,43%
trollolol,31,E4,E,6,35%
dragoonkain,31,E5,E,1,67%
thesunfan,31,E5,E,2,67%
Mithrandir37,31,E5,E,3,50%
jgoyes,31,E5,E,4,40%
Stadiumite,31,E5,E,5,27%
creinman,31,E6,E,1,67%
Pizzaelemblast,31,E6,E,2,65%
seekermd,31,E6,E,3,50%
geokarlaw,31,E6,E,4,35%
pwu55,31,E6,E,5,33%
eskoglund,31,E7,E,1,70%
connerevans,31,E7,E,2,58%
alibby1152,31,E7,E,3,53%
unidentified,31,E7,E,4,43%
ttw001,31,E7,E,5,40%
Durgle,31,E7,E,6,35%
pova,31,E8,E,1,73%
TrinaCat,31,E8,E,2,60%
Hamlet the Dane,31,E8,E,3,57%
bizaff,31,E8,E,4,51%
alion8me,31,E8,E,5,48%
Aqlcut,31,E8,E,6,11%
dornado,31,E9,E,1,72%
real77,31,E9,E,2,70%
goaliechris,31,E9,E,3,53%
BostonQuad,31,E9,E,4,50%
The Jesters Girl,31,E9,E,5,30%
Filbert66,31,E9,E,6,25%
UltimateGeek,31,E10,E,1,72%
GaryOfPgh2,31,E10,E,2,67%
Miaww,31,E10,E,3,52%
CNDGrrl,31,E10,E,4,38%
alexgor23,31,E10,E,5,37%
stonedmason,31,E10,E,6,35%
PacificBlackDuck,31,E11,E,1,63%
ninjaechoarty,31,E11,E,2,58%
andc,31,E11,E,3,52%
boxingkoala,31,E11,E,4,47%
hierarch,31,E11,E,5,43%
Faeael,31,E11,E,6,37%
christensendrg,31,E12,E,1,75%
harkne,31,E12,E,2,54%
noisenow42,31,E12,E,3,50%
zwiebacke,31,E12,E,4,46%
Beth,31,E12,E,5,25%
Schlafi,31,E13,E,1,67%
juicyreign,31,E13,E,2,55%
chrismertens,31,E13,E,3,53%
Freerk,31,E13,E,4,53%
budzor022,31,E13,E,5,38%
Malta,31,E13,E,6,33%
ricardo.thaler,31,E14,E,1,80%
Bonxie,31,E14,E,2,58%
marfik57,31,E14,E,3,55%
grebst,31,E14,E,4,38%
phy phor,31,E14,E,5,37%
640er,31,E14,E,6,32%
Ingix,31,E15,E,1,67%
Cytryn,31,E15,E,2,52%
Ares,31,E15,E,3,50%
cyberlady,31,E15,E,4,48%
louda,31,E15,E,5,33%
scolapasta,31,F1,F,1,67%
lechimp,31,F1,F,2,57%
goragon,31,F1,F,3,53%
Guynexdoor,31,F1,F,4,44%
Witz,31,F1,F,5,40%
jacobarduino,31,F1,F,6,39%
Luther,31,F2,F,1,67%
tpollak,31,F2,F,2,51%
PatchMag576,31,F2,F,3,43%
Bandit_Boi,31,F2,F,4,57%
13blacksheep,31,F2,F,5,32%
gbay,31,F3,F,1,72%
Squonk2,31,F3,F,2,63%
vmaria22,31,F3,F,3,60%
supergirladira,31,F3,F,4,38%
jayho89,31,F3,F,5,37%
Robear,31,F3,F,6,30%
vakira,31,F4,F,1,58%
jwallbaum,31,F4,F,2,58%
jrh150482,31,F4,F,3,46%
supernick,31,F4,F,4,46%
Xristidis,31,F4,F,5,42%
jrsaba,31,F5,F,1,63%
Snowdrop,31,F5,F,2,63%
nietsxela,31,F5,F,3,58%
bfly76,31,F5,F,4,40%
byrdalumnus,31,F5,F,5,38%
SageJude,31,F5,F,6,37%
erinblack,31,F6,F,1,85%
JerTheVillageSmithy,31,F6,F,2,52%
Malthran,31,F6,F,3,52%
bigredtruck,31,F6,F,4,43%
ddrmaster1216,31,F6,F,5,42%
