Name,User #,Discord,Time Zone,TZ#,Tier,Zone,Division
FarmerBen,,@FarmerBen#5331,America/Denver,-6:00,E,AM,E3
fiercelord,5502,@fiercelord#7215,America/New_York,-4:00,E,AM,E2
folivora,,@folivora#5361,America/Denver,-6:00,E,AM,E1
GaryOfPgh2,6298,@GaryofPgh2#6139,America/Chicago,-5:00,E,AM,E3
Gasku,6344,@Gasku#1249,Europe/Madrid,2:00,E,EU,E7
harkne,5727,@harkne#9504,Europe/Berlin,2:00,E,EU,E8
hierarch,6174,@hierarch#4242,Pacific/Auckland,12:00,E,AS,E6
hoget10,6541,@hoget10#0908,America/New_York,-4:00,E,AM,E2
HRoll,668,@HRoll#4276,America/Los_Angeles,-7:00,E,AM,E1
Jimmmy,5257,@Jimmmy#8763,Europe/Budapest,2:00,E,EU,E8
JPreto,6980,@JPreto#1191,Europe/Berlin,2:00,E,AS,E6
jxcn17,,@jxcn17#2158,America/New_York,-4:00,E,AM,E1
khz,6652,@killahertz#3610,America/New_York,-4:00,E,AM,E4
Magyi,2668,@Magyi#2155,Europe/Berlin,2:00,E,AS,E6
mistgun,5389,@asimov.io#1836,Europe/Paris,2:00,E,EU,E8
Moonshadow70,6661,@Moonshadow70#3868,America/New_York,-4:00,E,AM,E2
MVP,453,@MVP#1458,America/New_York,-4:00,E,AM,E5
namek,,@namek#0904,Europe/Berlin,2:00,E,EU,E7
NBSchlueter,5588,@NBSchlueter#6504,America/Los_Angeles,-7:00,E,AM,E5
nottoobad,6506,@nottoobad#9595,America/New_York,-4:00,E,AM,E3
oemel09,,@oemel09#9099,Europe/Berlin,2:00,E,EU,E8
ravivas,2151,@ravi#0104,Europe/Paris,2:00,E,EU,E7
real77,5747,@real77#0191,Australia/Sydney,10:00,E,AS,E6
scolapasta,6243,@scolapasta#5563,America/New_York,-4:00,E,AM,E2
seanahan,5384,@seanahan#5551,America/Chicago,-5:00,E,AM,E1
SearingSpear92,4989,@SearingSpear92#1013,America/New_York,-4:00,E,AM,E4
Sharapopovamaria,6301,@Sharapopovamaria#7242,Europe/Berlin,2:00,E,EU,E8
sparrowhawk73,7045,@sparrowhawk1#5026,Europe/Athens,3:00,E,AS,E6
Spiraler,6845,@Spiraler#0050,America/New_York,-4:00,E,AS,E6
squirezucco,4648,@squirezucco#0571,America/New_York,-4:00,E,AM,E5
Thabo,3153,@Shift#9266,Europe/Berlin,2:00,E,EU,E7
thepilferer,,@thepilferer#7848,America/Los_Angeles,-7:00,E,AM,E3
topAAs,,@topAAs#3353,Europe/Berlin,2:00,E,EU,E7
yahas,5182,@yahas#2142,America/New_York,-4:00,E,AM,E4
_DumbOnion_,,@_DumbOnion_#3574,America/New_York,-4:00,F,AME,F
34Witches,6986,@34Witches#9425,Europe/London,1:00,F,EU,F15
AbjectPermanence,,@AbjectPermanence#2920,Australia/Sydney,10:00,F,AS,F11
AcceptableBunny,,@AcceptableBunny#3944,Europe/London,1:00,F,EU,F13
Adthor,,@Adthor#3850,America/Chicago,-5:00,F,AME,F1
aesthephile,,@andyy#3349,America/Los_Angeles,-7:00,F,AMW,F10
alion8me,6304,@alion8me#5608,America/Chicago,-5:00,F,AME,F4
amankdr,7162,@a47#0576,America/Chicago,-5:00,F,AME,F7
andylatto,2205,@Andy#5232,America/New_York,-4:00,F,AME,
Appie459,,@Appie459#2615,Europe/Berlin,2:00,F,EU,F16
Ares,5996,@DominionAres#8572,Europe/Zurich,2:00,F,EU,F14
asmajlaton,466,@AMAJ#2040,America/New_York,-4:00,F,AME,F5
assemble me,1966,@assemble_me#6129,Europe/Berlin,2:00,F,EU,F14
bcoli,,@҉ ܏#9345,America/New_York,-4:00,F,AME,F2
