Name,User #,Discord,Time Zone,TZ#,Tier,Zone,Division
rohanz7,,@rohanz7#9526,America/New_York,-4:00,G,AME,G17
Rostipyr,,@Rostipyr#1526,Europe/Warsaw,2:00,G,EU,G29
Rotkaeppchen,,@Rotkaeppchen#8467,Europe/Berlin,2:00,G,EU,G29
SantaCruzCool,,@SantaCruzCool#2662,America/Los_Angeles,-7:00,G,AMW,G23
Savaahn,6299,@Savaahn#1215,America/Chicago,-5:00,G,AME,G3
Schaka,7383,@Schaka#1551,Europe/Berlin,2:00,G,EU,G25
schorn,6582,@schorn#1691,America/Chicago,-5:00,G,AME,G6
Scobud27,,@Scobud27#6913,America/New_York,-4:00,G,AME,G3
scottc,5160,@scottc#0453,America/New_York,-4:00,G,AS,G24
SerPounce,,@SerPounce#2138,Europe/Berlin,2:00,G,EU,G31
Shacharizard,,@Human#8035,America/New_York,-4:00,G,AME,G4
ShakeyJake,,@studavis#6181,America/New_York,-4:00,G,AME,G10
shmuelic,,@KhefKurry#8413,America/New_York,-4:00,G,AME,G8
Smelly4_4,7397,@Smelly4_4#7339,America/New_York,-4:00,G,AME,G14
speedyjohn,,@speedyjohn#5744,America/Los_Angeles,-7:00,G,AMW,G22
SpikesWire,7431,@SpikesWire#6787,America/New_York,-4:00,G,AME,G2
sportingelijah,,@sportingelijah#1425,America/Los_Angeles,-7:00,G,AM,G1
stephen2,,@stephen#7770,America/Chicago,-5:00,G,AME,G
Supernova888,,@Supernova888#3676,America/New_York,-4:00,G,AME,G3
Swoosh,,@thenumber1nick#0501,America/Chicago,-5:00,G,AME,G10
Takaron,,@TDG#1123,America/New_York,-4:00,G,AME,G15
TalinkorB,7246,@TalinkorB#8996,America/New_York,-4:00,G,AME,G9
Tateishi,,@Tateishi#0309,America/New_York,-4:00,G,AME,G6
TECtheEnemy,,@TECtheEnemy#2483,America/New_York,-4:00,G,AME,
TedMosby12,,@BenR#8059,America/Chicago,-5:00,G,AME,G6
temidayo1234,,@temidayo1234#4625,America/New_York,-4:00,G,AME,G4
Terbium65,,@Terbium#3588,America/Los_Angeles,-7:00,G,AMW,G19
the jesters girl,6367,@Stella#7817,America/Los_Angeles,-7:00,G,AMW,G18
Thinpaddy,7224,@Thinpaddy#0685,Europe/London,1:00,G,EU,G28
ThomasK,6857,@ThomasK#0809,Europe/Warsaw,2:00,G,EU,G25
tiegerstochter,,@tiegerstochter#8129,Europe/Berlin,2:00,G,EU,G25
tmoneywatson,,@tmoneywatson#2691,America/New_York,-4:00,G,AME,G5
tnarg44,,@tnarg44#3836,America/Chicago,-5:00,G,AME,G17
tonyfig,7384,@tonyfig#5816,America/Los_Angeles,-7:00,G,AMW,G22
Toomzor,,@Toomzor#2485,Europe/Paris,2:00,G,EU,G27
trollolol,6259,@trollolol#1215,America/Los_Angeles,-7:00,G,AMW,G23
turbobaseball,,@SSounder#4840,America/Chicago,-5:00,G,AME,G16
typewriter23,,@typewriter23#8856,America/New_York,-4:00,G,AME,
UNBR34K4BL3,6482,@UNBR34K4BL3#0394,America/Denver,-6:00,G,AM,G1
vi3tv1nk,,@vi3tv1nk#3803,America/New_York,-4:00,G,AME,G8
vidawg77,,@vidawg77#9425,Europe/Berlin,2:00,G,EU,G28
Viersen,,@Viersen#2512,Europe/Berlin,2:00,G,EU,G27
watermeloen,,@watermeloen#4352,Europe/Paris,2:00,G,EU,G31
whatsupdawg,,@kenjihata#3346,America/Los_Angeles,-7:00,G,AMW,G23
WickedCurves,,@WickedCurves#2578,America/New_York,-4:00,G,AME,G16
wmckemey,,@wmckemey#0240,Europe/London,1:00,G,EU,G
wwwdotwww,,@wwwdotwww#2777,America/New_York,-4:00,G,AME,G12
Zert,,@jogafu#4369,America/Chicago,-5:00,G,AME,G11
zmonny,,@3axap#7753,America/New_York,-4:00,G,AME,G15
zomshow,7081,@zomshow#4747,America/Chicago,-5:00,G,AME,G10
zsaffir,,@ZS#8158,America/Chicago,-5:00,G,AME,G4
ZWade,,@zwade#7796,America/Chicago,-5:00,G,AME,G5
-Ali-,,@-Ali-#0705,Europe/London,1:00,H,EU,H54
aadim2006,,@kab#2859,America/Chicago,-5:00,H,AME,H5
AAsmiles,,@AAsmiles#0028,America/Denver,-6:00,H,AMW,H32
acourt01,,@acourt91#7576,America/Denver,-6:00,H,AMW,H36
ACuriousParadox,6952,@Paradox (Isaac)#7795,America/New_York,-4:00,H,AME,H1
adambyars,,@adambyars#4961,America/Chicago,-5:00,H,AME,H15
Altar Keane,,@Altar Keane#9213,Europe/Paris,2:00,H,EU,H57
amrutha,,@amrutha#4887,America/Los_Angeles,-7:00,H,AMW,H39
ancamirela,7258,@Anca#7630,America/Los_Angeles,-7:00,H,AMW,H44
androidfanman,7359,@androidfanman#9244,America/Denver,-6:00,H,AMW,H41
Annagret,,@annagret#7514,America/Chicago,-5:00,H,AME,H29
antcnnected,,@antcnnected#3256,America/Toronto,-4:00,H,AME,H15
AnUncivilEngineer,7437,@AnUncivilEngineer#7376,America/New_York,-4:00,H,AME,H3
areeder808,7075,@areeder808#3499,America/New_York,-4:00,H,AME,H4
arusmahen,7275,@arusmahen#4004,America/Toronto,-4:00,H,AME,H1
astrodog93,,@astron#7305,America/Chicago,-5:00,H,AME,H
AuD14,7374,@AuD14#8918,America/New_York,-4:00,H,AME,H5
AvinaashAnand,,@ZaceQuar#6680,Asia/Kolkata,5:30,H,AS,H47
b00b3rt,,@b00b3rt#9203,America/New_York,-4:00,H,AME,H10
badashbhalu,7391,@badashbhalu#1717,America/Los_Angeles,-7:00,H,AMW,H45
barksideofthemoon,7420,@barksideofthemoon#1516,America/New_York,-4:00,H,AME,H28
BartHarleyJarvis,,@BartHarleyJarvis#5950,America/New_York,-4:00,H,AME,H27
batmanthehorse,6565,@batmanthehorse#1602,America/New_York,-4:00,H,AME,H8
bcraig9713,7261,@bcraig9713#9659,America/New_York,-4:00,H,AME,H24
Beckycapp,,@Beckycapp#4053,America/New_York,-4:00,H,AME,H2
Beeronis,,@Beeronis#9745,America/Chicago,-5:00,H,AME,H12
bell22,5927,@belle#4441,America/New_York,-4:00,H,AME,H24
Berger77,,@Berger77#6896,Australia/Sydney,10:00,H,AS,H49
Beth,5966,@Beth#5599,Europe/Tallinn,3:00,H,EU,H54
Betira,,@Betira#7153,Europe/Berlin,2:00,H,EU,H58
bigwynner,,@twucker#1436,America/New_York,-4:00,H,AME,H
billbarnes1972,,@Madbill19#9995,America/New_York,-4:00,H,AME,H20
Birgit98,,@Birgit#7346,Europe/Stockholm,2:00,H,EU,H59
bjtait15,6542,@bjtait15#7942,America/New_York,-4:00,H,AME,H16
BloodPlum,,@BloodPlum#5049,America/New_York,-4:00,H,AME,H3
blossomdb,,@blossomdb#4853,America/Vancouver,-7:00,H,AMW,H37
Bob1,7002,@Sleaper56 YT#6310,America/Chicago,-5:00,H,AME,H13
Bomani88,,@Bomani#0744,America/Los_Angeles,-7:00,H,AMW,H40
BoneyDanza,,@boneydanza#5256,America/Los_Angeles,-7:00,H,AMW,H37
bongoboi5000,7355,@bongoboi5000#3258,America/Los_Angeles,-7:00,H,AMW,H33
Boydd,,@Boyd#6355,Australia/Sydney,10:00,H,AS,H48
bozu69,,@doofus ☼#6090,America/New_York,-4:00,H,AME,H
bradchoosefi,,@bradchoosefi#7346,America/New_York,-4:00,H,AME,H8
brev100,,@brev100#9443,America/New_York,-4:00,H,AME,H14
Bricks2020,,@Bricks2020#4966,America/New_York,-4:00,H,AME,H17
BSplitt,,@SpinalSplitter#5065,America/Chicago,-5:00,H,AME,H12
bubs4,,@bigdogfourtweanty#9483,America/Los_Angeles,-7:00,H,AMW,H41
Burly_Steve,7265,@Burly_Steve#8039,Europe/London,1:00,H,EU,H55
bz1,,@bz1#9237,America/New_York,-4:00,H,AME,H28
cabelhigh,,@cabelhigh#0386,America/Los_Angeles,-7:00,H,AMW,H43
Cait2244,,@Cait2244#9972,America/New_York,-4:00,H,AME,H20
CaptainHorizons,,@Cat & Joey#1022,Europe/London,1:00,H,EU,H62
CarmenSanDiego,,@carmena1414#6710,America/New_York,-4:00,H,AME,H2
CastleLivery,,@CastleLivery#9925,America/New_York,-4:00,H,AME,H22
catiemichelle,,@catiemichelle#0203,America/Chicago,-5:00,H,AME,H4
Cattallia,6670,@Cattallia#8869,Europe/Berlin,2:00,H,EU,H51
Cavedweller,,@PDubs#8675,Europe/Paris,2:00,H,EU,H59
cavemanrot,7382,@AxelP#1535,Europe/Berlin,2:00,H,EU,H64
ceciliadoan,,@ceciliadoan#6937,America/Los_Angeles,-7:00,H,AMW,H31
cestwho,7350,@cestmoi#7648,America/Toronto,-4:00,H,AME,H22
cevan917,,@Carter Gilbert#5482,America/New_York,-4:00,H,AME,H10
CF6,,@CF6#8367,Europe/Berlin,2:00,H,EU,H53
cfred,,@mrfudgy#7737,America/New_York,-4:00,H,AME,H25
chadnov,,@chadnov#2938,America/Los_Angeles,-7:00,H,AMW,H35
ChancellorBillups,7343,@camb_#1561,America/New_York,-4:00,H,AME,H21
charlieh92,,@charlieh92#3950,Europe/London,1:00,H,EU,H60
CharMama,,@CharMama#4760,America/Chicago,-5:00,H,AME,H24
ChiefConstable,,@ChiefConstable#1064,America/Chicago,-5:00,H,AME,H12
ChiefMinister,,@ChiefMinister#0109,America/Chicago,-5:00,H,AME,H26
Chopalot3,7341,@chopalot3#9550,America/Chicago,-5:00,H,AME,H29
cj_punzalan,,@cj_punzalan#9490,America/Los_Angeles,-7:00,H,AMW,H34
clischer,,@Caitlin#2608,America/Indiana/Indianapolis,-4:00,H,AME,H5
cmhagen83,,@c-hagz#0553,America/Chicago,-5:00,H,AME,H18
ColdBloodPrince,,@bradC26#5936,America/New_York,-4:00,H,AME,H21
colin_loves_hunter,7413,@lil_iterate#6127,America/Los_Angeles,-7:00,H,AMW,H46
Condu,,@Condu#9419,Europe/Berlin,2:00,H,EU,H60
cougars28,,@cougars28#1406,America/New_York,-4:00,H,AME,H
Cr1mson3lbow,7289,@cr1mson3lbow#3328,America/Chicago,-5:00,H,AME,H7
crazyjok3r,6653,@Ramirex Jolt#4973,America/Los_Angeles,-7:00,H,AMW,H33
CrazyMoose,,@CrazyMoose#5171,America/Chicago,-5:00,H,AME,H26
Cyber28,7017,@Cyber28#2864,Europe/Budapest,2:00,H,EU,H53
DangerKing,,@Danger#7992,America/Chicago,-5:00,H,AME,H6
Daniel Bo,,@Justin der Abenteurer#5018,Europe/Berlin,2:00,H,EU,H63
davidbebawy,,@David Bebawy#4486,America/New_York,-4:00,H,AME,H
Dawg111,,@Dawg111#0475,Europe/London,1:00,H,EU,H62
Dawgi,,@Dawgi#5317,America/Los_Angeles,-7:00,H,AMW,H46
Dbloslim,,@dbloslim#9461,America/New_York,-4:00,H,AME,H18
DefMike,,@DefMike#2315,America/New_York,-4:00,H,AS,H49
Denise,,@denise#5319,Europe/London,1:00,H,EU,H56
doctoramk,,@doctoramk#1477,America/Chicago,-5:00,H,AME,H26
doldendude,,@doldendude#8520,Europe/Berlin,2:00,H,EU,H57
dollarbill,,@DollarBIll#6082,America/New_York,-4:00,H,AME,H15
dollopofmoney,,@deaconpe#2650,America/New_York,-4:00,H,AME,H27
dominationnation,,@dominationnation#8540,Australia/Sydney,10:00,H,AS,H49
DominionDave,,@DominionDave#0124,America/Toronto,-4:00,H,AME,H14
Domocobra,,@Dom#6067,Europe/London,1:00,H,EU,H58
domplopper,7319,@domplopper#0151,America/New_York,-4:00,H,AME,H22
Donkey-Dude,,@Donkey-Dude#6751,Europe/Berlin,2:00,H,EU,H61
doughminyan,,@arturotercero#8725,America/Chicago,-5:00,H,AME,H10
Dr_Phibes,,@Dr_Phibes#1155,Europe/London,1:00,H,EU,H61
driftskate,,@barry#5819,America/Anchorage,-8:00,H,AMW,H44
DrMantisToboggan16,,@DrMantisToboggan16#6658,America/New_York,-4:00,H,AME,H13
Druidas,7203,@Druidas#2012,Europe/Berlin,2:00,H,EU,H60
Duhetyrone2,,@Duhetyrone2#8390,America/Chicago,-5:00,H,AME,H
Durgle,6194,@Durgle#7780,America/Denver,-6:00,H,AMW,H36
Eaterpoosack,,@colu#1556,America/Indiana/Indianapolis,-4:00,H,AME,H10
eddwhite1,,@eddwhite1#0012,Europe/London,1:00,H,EU,H63
edred,,@edred#5201,America/Los_Angeles,-7:00,H,AMW,H43
eeps,7347,@potatophra#1245,America/Los_Angeles,-7:00,H,AMW,H42
Elviernestocajugar,,@Elviernestocajugar#9240,Europe/Madrid,2:00,H,EU,H51
EmmiPlays2000,,@Emmi#1480,Europe/Berlin,2:00,H,EU,H51
epiccswagg,,@epiccswagg#3179,America/Los_Angeles,-7:00,H,AMW,H38
Esteban03,7346,@Esteban03#9029,America/New_York,-4:00,H,AME,H23
FavLab,,@FavLab#3169,America/Los_Angeles,-7:00,H,AMW,H44
fika monster,,@Fika monster#5417,Europe/Stockholm,2:00,H,EU,H55
Filodendron,,@Pfiffltrigg#7469,America/New_York,-4:00,H,AME,H7
Final_Thoughts,7415,@Final_Thoughts#7968,America/New_York,-4:00,H,AME,H11
findcongwang,,@findcongwang#7978,America/Toronto,-4:00,H,AME,H11
Frack9,,@Frack#8865,America/Los_Angeles,-7:00,H,AMW,H32
Friartuck,,@Friartuck#2351,America/Los_Angeles,-7:00,H,AMW,H33
FRIETHEAD,,@FRIETHEAD#6409,Europe/Paris,2:00,H,EU,H53
froco93,,@froco#2099,America/Los_Angeles,-7:00,H,AMW,H42
frogdogs,7344,@frogdogs#7436,America/Chicago,-5:00,H,AME,H21
FWood,,@FWood#5467,Europe/London,1:00,H,EU,H58
fzzzzzzzt,,@fzzzzzzzt#4419,America/Los_Angeles,-7:00,H,AMW,H39
GayAndSebastian,,@seblat#4905,Europe/Berlin,2:00,H,EU,H56
gfroese,7047,@gfroese#7524,America/New_York,-4:00,H,AME,H23
Girlwndr,,@Girlwndr#7676,America/Denver,-6:00,H,AMW,H33
gomez70,6558,@gomez70#4925,America/New_York,-4:00,H,AME,H11
Goody2shoes15,,@Goody2shoes15#6889,Europe/Dublin,1:00,H,EU,H63
goose7,,@goose7#2757,America/Chicago,-5:00,H,AME,H9
GRB11,7363,@Gavin#8367,America/Toronto,-4:00,H,AME,H6
grebst,5686,@grebst#0442,Europe/Berlin,2:00,H,EU,H59
Greta_X,,@Greta_X#7354,America/Los_Angeles,-7:00,H,AMW,H30
GronkBrady,,@GronkBrady#0214,America/Los_Angeles,-7:00,H,AMW,H32
gsusie1,7060,@gsusie1#2481,America/Chicago,-5:00,H,AME,H22
Gubump,3599,@Gubump#0154,America/Denver,-6:00,H,AMW,H33
GuyOnABuffalo,,@GuyOnABuffalo#9150,America/New_York,-4:00,H,AME,H21
hal_incandenza96,,@hal_incandenza96#2149,America/Los_Angeles,-7:00,H,AMW,H40
HannaP,,@aeitschy#5903,Europe/Berlin,2:00,H,EU,H53
HNYDW,,@Bandes#9136,America/Chicago,-5:00,H,AME,H1
hobitermes,,@hobitermes#1149,Europe/Berlin,2:00,H,EU,H52
HoboJon9000,,@HoboJon9000#7178,America/Denver,-6:00,H,AMW,H45
Hoffnung,,@Hoffnung#2075,Europe/Berlin,2:00,H,EU,H64
hollyharlow,7230,@hharlow#1023,America/New_York,-4:00,H,AME,H11
hughythegreat,7145,@hughythegreat#9122,America/Los_Angeles,-7:00,H,AMW,H41
huzzah4sara,,@huzzah4sara#7308,America/New_York,-4:00,H,AME,H28
Hyogaah,,@Hyogaah#9388,Europe/Paris,2:00,H,EU,H60
iainyoung,,@Iain#1035,Asia/Seoul,9:00,H,AS,H47
iMonster,7293,@ChaosMoonGem#2190,America/Chicago,-5:00,H,AME,H26
InspiringLeader,6414,@inspiringleader#6869,Europe/London,1:00,H,EU,H57
instaham,,@instaham#7751,America/New_York,-4:00,H,AME,H13
instock_item,,@instock_item#5765,America/Los_Angeles,-7:00,H,AMW,H45
Intelcheff,7416,@Intelcheff#0415,America/New_York,-4:00,H,AME,H9
iparres,6441,@iparres#3073,Europe/Berlin,2:00,H,EU,H
Ireth,7321,@Ireth#6317,Europe/Athens,3:00,H,EU,H57
IrgendwasmitMond,,@Alchemist#1903,Europe/Berlin,2:00,H,EU,H
Iricilaure,7285,@Iricilaure#3165,America/Chicago,-5:00,H,AME,H4
isiahw1,6960,@Eye-zay-uhhhhhh#0565,America/New_York,-4:00,H,AME,H26
IslandRae,,@Rae#8242,America/New_York,-4:00,H,AME,H
Itsyee,7236,@Itsyee#3374,America/New_York,-4:00,H,AME,H24
J22Jabs,,@JillJabs#6405,America/Denver,-6:00,H,AMW,H43
j3ss3,,@j3ss3#8216,America/Los_Angeles,-7:00,H,AMW,H37
Jackass,,@Jackass#2472,Europe/London,1:00,H,EU,H60
Jackjoab,,@Jackjoab#7358,Europe/Berlin,2:00,H,EU,H50
jacobpb,,@jacobpb#7113,America/Los_Angeles,-7:00,H,AMW,H35
janlasse,,@arbok#8806,Europe/Berlin,2:00,H,EU,H53
JanWafel,7336,@JanWafel#1130,Europe/Paris,2:00,H,EU,H61
jaywood98,7351,@jaywood98#5293,Europe/Berlin,2:00,H,EU,H59
jaz92,,@jaz92#1152,Europe/Berlin,2:00,H,EU,H56
jdawg475,,@jdawg475#9840,America/New_York,-4:00,H,AME,H23
Jenelos,,@gener21#0824,America/New_York,-4:00,H,AME,H7
jennjin01,,@jennjin01#7304,America/Chicago,-5:00,H,AME,H
Jenny Festival,,@jelebu#5170,America/Chicago,-5:00,H,AME,H20
JeroenR,7232,@JeroenR#3759,Europe/Paris,2:00,H,EU,H58
Jev989,,@Jevjev#2450,Australia/Sydney,10:00,H,AS,H49
jewelsphraner,,@jewelsy#6537,America/New_York,-4:00,H,AME,H12
jg457,7305,@jaygee457#7418,America/New_York,-4:00,H,AME,H28
jillybillygirl,7376,@jillybillygirl#7162,America/New_York,-4:00,H,AME,H23
joemar194,,@joemar194#8348,America/Denver,-6:00,H,AMW,H40
Johnny Midnight,7418,@Johnny Midnight#1326,America/Los_Angeles,-7:00,H,AMW,H44
Jolinar of Malkshur,,@Jolinar_Of_Malkshur#8592,America/Chicago,-5:00,H,AME,H21
joshml82,7335,@Justjoshin#7228,America/New_York,-4:00,H,AME,H23
jrh150482,5100,@jrh150482#8026,America/New_York,-4:00,H,AMW,H31
K1RON,,@Kiron#4546,America/Denver,-6:00,H,AMW,H39
kahaanboom,,@kahaanboom#9430,America/Chicago,-5:00,H,AME,H2
Kangawu,7410,@kangawu#7575,America/Chicago,-5:00,H,AME,H15
karinnl,7292,@karinnl#3126,Europe/Berlin,2:00,H,EU,H61
Katrin90,,@Katrin90#7151,Europe/Berlin,2:00,H,EU,H50
ketriel,,@ketriel#5708,America/New_York,-4:00,H,AME,H
kevinmpeterson,,@kp#1173,America/Los_Angeles,-7:00,H,AMW,H35
kingskid2002,5760,@kingskid2002#9945,Europe/Moscow,3:00,H,EU,H57
Kpecina,,@Kpecina#8321,America/New_York,-4:00,H,AME,H19
kpk,,@kpk#1790,Asia/Kolkata,5:30,H,AS,H49
kretchde,,@deb k#2933,America/Los_Angeles,-7:00,H,AMW,H34
Kroupmastaflex ,,@kroupmastaflex#0044,America/New_York,-4:00,H,AME,H7
ksoccerstar,,@ksoccerstar#1960,America/Los_Angeles,-7:00,H,AMW,H32
Kuo Chong Chin,,@Kuo ChongChin#8494,Asia/Taipei,8:00,H,AS,H48
LaBaguette,,@LaBaguette#3660,Europe/Berlin,2:00,H,EU,H50
Lancero95,,@Lancero95#5362,America/New_York,-4:00,H,AME,H5
Lasombra,,@Teo_Lasombra#2159,Europe/Moscow,3:00,H,EU,H
lauram283,,@lauram283#6841,America/New_York,-4:00,H,AME,H9
lionfever22,,@lionfever22#3233,America/New_York,-4:00,H,AME,H63
lionfever23,,@lionfever23#3233,America/New_York,-4:00,H,AME,H
loewenheim_swolem,,@danielfilan#6983,America/Los_Angeles,-7:00,H,AMW,H38
lorderu,,@lorderu#7313,America/Los_Angeles,-7:00,H,AMW,H40
Lorettamm,,@Lorettamm#9484,America/New_York,-4:00,H,AME,H6
lucho,7364,@lucianoamor#6424,America/Argentina/Buenos_Aires,-3:00,H,AME,H19
Luckyfawn,,@Luckyfawn#2630,America/Los_Angeles,-7:00,H,AMW,H42
Lukas567,,@Lukas567#9659,Europe/Berlin,2:00,H,EU,H51
M.O.A.T.,,@M.O.A.T.#4479,America/Denver,-6:00,H,AMW,H36
mabuza,,@Mabuza#3551,America/Los_Angeles,-7:00,H,AMW,H43
MadamMadcap81,,@Madammadcap81#9685,America/Chicago,-5:00,H,AME,H20
MadeinChina,,@MadeInChina#3134,America/New_York,-4:00,H,AME,H8
madjs,,@Madmax#9739,America/Sao_Paulo,-3:00,H,AME,H3
makshay,,@apo'strophe#1598,America/Los_Angeles,-7:00,H,AMW,H31
Maleficent6,3122,@Maleficent#3159,America/Los_Angeles,-7:00,H,AMW,H43
MamaR,,@MamaR#1316,Europe/London,1:00,H,EU,H62
Manfredmouthbot,,@Manfredmouthbot#2285,Atlantic/Cape_Verde,-1:00,H,AME,H3
Manson,,@Manson#6504,America/New_York,-4:00,H,AME,H19
MaoMaster51,7137,@MaoMaster51#9295,America/Chicago,-5:00,H,AME,H23
marcivan,,@marcivan#8867,America/New_York,-4:00,H,AME,H3
Marliz3e,7070,@Marliz3e#7381,Africa/Johannesburg,2:00,H,EU,H58
marva613,,@Avram#8640,America/Denver,-6:00,H,AMW,H37
masedoggy,7153,@masedoggy#3006,America/Los_Angeles,-7:00,H,AMW,H39
Matlock72,,@BobaFett#7492,America/Los_Angeles,-7:00,H,AMW,H44
mattmm,6959,@mattmm#9219,America/New_York,-4:00,H,AME,H4
mbp,5377,@mbp#7389,America/Anchorage,-8:00,H,AMW,H31
mc3037,,@mc3037#7088,America/Los_Angeles,-7:00,H,AMW,H30
McDuggan33,,@McDuggan33#6995,Europe/London,1:00,H,EU,H60
McWaffle,,@McWaffle#1172,America/New_York,-4:00,H,AME,H15
mdeac,,@deac424#5959,America/New_York,-4:00,H,AME,H29
Megzuccato,,@megzuc#3510,America/New_York,-4:00,H,AME,H6
merrburr,7348,@merrrburrr#9022,America/Los_Angeles,-7:00,H,AMW,H42
miguelb,7379,@miguelb#1627,America/Los_Angeles,-7:00,H,AMW,H46
mike11481,7434,@mfr81#7869,America/Los_Angeles,-7:00,H,AMW,H33
mikemcgeezy,,@mikemcgill#3358,America/Chicago,-5:00,H,AME,H18
Milodo,,@Cameron#7736,America/New_York,-4:00,H,AME,H13
misakimi,,@misakimi82#3088,Europe/London,1:00,H,EU,H59
miso70,,@miso70#2072,Europe/Berlin,2:00,H,EU,H61
missvictoriang,,@missvictoriang#0148,Europe/London,1:00,H,EU,H56
mnessmonster,7327,@mnessmonster#4099,America/New_York,-4:00,H,AME,H14
mochan,,@Mochan#8103,America/Los_Angeles,-7:00,H,AMW,H41
Mollo8,,@Mollo8#8988,America/Chicago,-5:00,H,AME,H2
Mollyb386,,@Mollyb386#3784,America/New_York,-4:00,H,AME,H19
molowillwin,,@molowillwin#5260,America/Los_Angeles,-7:00,H,AMW,H40
Moncoponco,,@Moncoponco#5310,America/Los_Angeles,-7:00,H,AMW,H30
Mortesar,,@Mortesar#1270,Europe/Stockholm,2:00,H,EU,H63
mtjoos,,@mtjoos#9717,America/Los_Angeles,-7:00,H,AMW,H46
MudBeast,,@MudBeast#7071,America/Toronto,-4:00,H,AME,H16
MuensterCheese,5535,@SkyHawk#1058,America/New_York,-4:00,H,AME,H15
mugglemutts,,@mugglemutts#7239,America/New_York,-4:00,H,AME,H25
Mythrix,,@Mythrix#6881,Europe/London,1:00,H,EU,H54
natep1098,,@natep8910#5084,America/New_York,-4:00,H,AME,H19
Nekome512,,@Nekome#6602,America/Los_Angeles,-7:00,H,AMW,H30
neti3d,,@neti3d#0233,America/Argentina/Buenos_Aires,-3:00,H,AME,H1
nikhil532,,@nikhil532#5518,Asia/Kolkata,5:30,H,AS,H48
Nikkicola11,5790,@nikkicola11#6649,America/New_York,-4:00,H,EU,H62
ninjacreeper47,,@ninjacreeper47#2096,America/New_York,-4:00,H,AME,H14
niramsor,,@niramsor#8795,Europe/Berlin,2:00,H,EU,H64
nomi,7149,@nomi#9562,America/New_York,-4:00,H,EU,H52
Nomis Retep,,@Nomis Retep#8532,Europe/London,1:00,H,EU,H54
nrivero,,@nrivero#0952,America/New_York,-4:00,H,AME,H27
NutsofWrath,,@Dimensional Traveler#4214,America/New_York,-4:00,H,AME,H29
nvrwhere42,7253,@nvrwhere42#3682,America/New_York,-4:00,H,AME,H18
OddWaller,,@OddWaller#4825,America/Los_Angeles,-7:00,H,AMW,H39
Ohnora,,@ohnora#5324,America/Los_Angeles,-7:00,H,AMW,H46
oldmandennis,7282,@oldmandennis#2432,America/Los_Angeles,-7:00,H,AMW,H30
ossan,,@ossan#3091,Asia/Tokyo,9:00,H,AS,H48
Otrucol717,,@otrucol717#9427,America/Los_Angeles,-7:00,H,AMW,H34
pacman1837,,@Ooree#2256,America/Chicago,-5:00,H,AME,H1
pandaface.,,@pandaface#0166,Europe/London,1:00,H,EU,H51
PankPeter,7302,@pankpeter#1138,America/Los_Angeles,-7:00,H,AMW,H31
PeasantKing,,@PeasantKing#9695,Pacific/Auckland,12:00,H,AS,H48
peeky_blinders54,,@peeky_blinders54#8638,America/Los_Angeles,-7:00,H,AMW,H45
peppapig,,@peppapig#0338,America/New_York,-4:00,H,AME,H11
petraarkanian18,,@petraarkanian18#5313,America/New_York,-4:00,H,AME,H8
phillipvn1,,@phillipvn#7888,America/New_York,-4:00,H,AME,H12
PierPants,,@CivilBae#9373,America/Los_Angeles,-7:00,H,AMW,H
Pinkman,,@Pinkman#5407,America/New_York,-4:00,H,AME,H7
pixelsnbits,,@pixelsnbits#7963,America/Chicago,-5:00,H,AME,H27
PlantLady88,,@PlantLady88#0218,America/New_York,-4:00,H,AME,H9
Poetje,7405,@Poetje#0956,Europe/Paris,2:00,H,EU,H54
potscutney,,@Potscutney#0949,America/Chicago,-5:00,H,AME,H19
Prismatic70,,@Prismatic#9337,America/New_York,-4:00,H,AME,H12
Provinceable,6674,@Provinceable#5964,America/New_York,-4:00,H,AME,H
proxynick,7439,@proxynick#6300,Europe/London,1:00,H,EU,H52
purple_bag,,@daMatz#0339,Europe/Berlin,2:00,H,EU,H62
Pyruet,,@Pyret#2102,Europe/Stockholm,2:00,H,EU,H53
QuarantineWitch,,@QuarantineWitch#1345,America/Los_Angeles,-7:00,H,AMW,H40
QueenKhaleesi,,@QueenKhaleesi#6790,America/Los_Angeles,-7:00,H,AMW,H36
raghu,,@raghu#5821,America/Chicago,-5:00,H,AME,H8
RainbowChalice,6734,@RainbowChalice#8505,America/New_York,-4:00,H,AME,H9
RannulphJunuh,,@RannulphJunuh#4744,America/New_York,-4:00,H,AME,H
Ray-am83,6477,@Ray#4143,Europe/Berlin,2:00,H,EU,H64
redburger,,@redburger#6111,America/Los_Angeles,-7:00,H,AMW,H42
rinacolada,,@rinacolada#4440,America/Chicago,-5:00,H,AME,H17
RipChancellor2016,,@RipChancellor2016#9243,America/Los_Angeles,-7:00,H,AMW,H44
rla841,7309,@Randi#2305,America/Chicago,-5:00,H,AME,H17
Robert_OF,,@Robert2577#3273,Europe/Berlin,2:00,H,EU,H64
robert7,6866,@robert7#6966,America/Los_Angeles,-7:00,H,AMW,H37
rockitman,6964,@rockitman#1186,America/Chicago,-5:00,H,AME,H3
Ronbon,,@Ronbon#7504,Australia/Melbourne,10:00,H,AS,H47
rosewater,,@Boop Boop#7804,America/Los_Angeles,-7:00,H,AMW,H43
Rotte,,@HugoHurtich#2016,Europe/Paris,2:00,H,EU,H58
Rozyroz,7118,@Rozyroz#7547,America/New_York,-4:00,H,AME,H20
