Score,Season,Players,Score,P1,P2,P1 Wins,P2 Wins,Tier
,42,,,sab4005,Sharur,4,2,D1
,42,,,sab4005,Appie459,5,1,D1
,42,,,dghunter79,Card Master,3,3,D1
,42,,,Card Master,Sharur,5,1,D1
,42,,,sab4005,terracubist,4,2,D1
,42,,,Card Master,Appie459,4,2,D1
,42,,,terracubist,dghunter79,4,2,D1
,42,,,terracubist,Appie459,3,3,D1
,42,,,Sharur,dghunter79,5,1,D1
,42,,,sab4005,dghunter79,1.5,4.5,D1
,42,,,Sharur,Appie459,4,2,D1
,42,,,Card Master,terracubist,4,2,D1
,42,,,dghunter79,Appie459,3,3,D1
,42,,,seanahan,Lemonspawn,3,3,D2
,42,,,schaefersbetty,Jerrydot,4,2,D2
,42,,,schaefersbetty,ced,2.5,3.5,D2
,42,,,rsilverstein12,Lemonspawn,4,2,D2
,42,,,ced,seanahan,3,3,D2
,42,,,schaefersbetty,Lemonspawn,1.5,4.5,D2
,42,,,Lemonspawn,Jerrydot,2,4,D2
,42,,,seanahan,rsilverstein12,5,1,D2
,42,,,schaefersbetty,seanahan,0,4,D2
,42,,,Lemonspawn,ced,4,2,D2
,42,,,ced,Jerrydot,3,3,D2
,42,,,seanahan,Jerrydot,3,3,D2
,42,,,schaefersbetty,seanahan,2,0,D2
,42,,,schaefersbetty,rsilverstein12,2,4,D2
,42,,,ced,rsilverstein12,4,2,D2
,42,,,Jerrydot,rsilverstein12,2,4,D2
,42,,,nottoobad,elia,3,3,D3
,42,,,elia,skizelo,4,2,D3
,42,,,catstealer419,elia,3,3,D3
,42,,,nottoobad,skizelo,6,0,D3
,42,,,eh1414,catstealer419,5,1,D3
,42,,,lrlusher,elia,2,4,D3
,42,,,skizelo,catstealer419,0,6,D3
,42,,,eh1414,lrlusher,5,1,D3
,42,,,catstealer419,lrlusher,0.5,2.5,D3
,42,,,catstealer419,lrlusher,0.5,2.5,D3
,42,,,nottoobad,eh1414,3,3,D3
,42,,,catstealer419,nottoobad,3,3,D3
,42,,,lrlusher,skizelo,4,2,D3
,42,,,lrlusher,nottoobad,4,2,D3
,42,,,eh1414,elia,3,3,D3
,42,,,eh1414,skizelo,5,1,D3
,42,,,gamesou,nessuno,4,2,D4
,42,,,tmoon33,nessuno,2,4,D4
,42,,,tmoon33,DaveDave,3,3,D4
,42,,,Paul Christiano,DaveDave,5,1,D4
,42,,,gamesou,DaveDave,2,1,D4
,42,,,tmoon33,Paul Christiano,4,2,D4
,42,,,tmoon33,britchken,4,2,D4
,42,,,nessuno,britchken,4,2,D4
,42,,,tmoon33,gamesou,1,5,D4
,42,,,Paul Christiano,nessuno,5,1,D4
,42,,,britchken,Paul Christiano,3,3,D4
,42,,,gamesou,britchken,4,2,D4
,42,,,Paul Christiano,gamesou,3,3,D4
,42,,,nessuno,DaveDave,4,2,D4
,42,,,DaveDave,britchken,4,2,D4
,42,,,gamesou,DaveDave,3,0,D4
,42,,,blablablabla,crlundy,3,3,E1
,42,,,sweetjohn33,crlundy,6,0,E1
,42,,,blablablabla,Gordoo,2,4,E1
,42,,,sweetjohn33,Gordoo,5,1,E1
,42,,,Natec654,crlundy,5,1,E1
,42,,,blablablabla,Natec654,4,2,E1
,42,,,Gordoo,bumbugler,3.5,2.5,E1
,42,,,crlundy,bumbugler,4,2,E1
,42,,,bumbugler,Natec654,4,2,E1
,42,,,Gordoo,crlundy,4,2,E1
,42,,,blablablabla,sweetjohn33,2,4,E1
,42,,,sweetjohn33,Natec654,6,0,E1
,42,,,sweetjohn33,bumbugler,5,1,E1
,42,,,blablablabla,bumbugler,5,1,E1
,42,,,Natec654,Gordoo,4,2,E1
,42,,,IbnSina,bbetil,4,2,E2
,42,,,Spiraler,MtMagus,5,1,E2
,42,,,eskoglund,bbetil,4,2,E2
,42,,,Spiraler,IbnSina,3,3,E2
,42,,,hannibal6,IbnSina,3,3,E2
,42,,,IbnSina,eskoglund,3,3,E2
,42,,,IbnSina,MtMagus,5,1,E2
,42,,,eskoglund,MtMagus,4,2,E2
,42,,,hannibal6,MtMagus,4,2,E2
,42,,,Spiraler,hannibal6,3,3,E2
,42,,,Spiraler,bbetil,3.5,2.5,E2
,42,,,eskoglund,hannibal6,3,3,E2
,42,,,MtMagus,bbetil,2,4,E2
,42,,,hannibal6,bbetil,4,2,E2
,42,,,Spiraler,eskoglund,4,2,E2
,42,,,BradyBot,pproteus,3,3,E3
,42,,,kheldar,alibby1152,4,2,E3
,42,,,BradyBot,kheldar,4,2,E3
,42,,,pproteus,bazkitcase5,4,2,E3
,42,,,BradyBot,alibby1152,3,3,E3
,42,,,kheldar,bazkitcase5,3.5,2.5,E3
,42,,,alibby1152,pproteus,4.5,1.5,E3
,42,,,kheldar,pproteus,3,3,E3
,42,,,BradyBot,Ravenshard,3,3,E3
,42,,,Ravenshard,alibby1152,6,0,E3
,42,,,BradyBot,bazkitcase5,2.5,3.5,E3
,42,,,bazkitcase5,alibby1152,5,1,E3
,42,,,Ravenshard,kheldar,2,2,E3
,42,,,pproteus,Ravenshard,4,2,E3
,42,,,kheldar,Ravenshard,1,1,E3
,42,,,Ravenshard,bazkitcase5,5,1,E3
,42,,,Lapik32,wmorgan,4,2,E4
,42,,,Lapik32,kimmy314,4,2,E4
,42,,,Lapik32,Russ2,2.5,3.5,E4
,42,,,Lapik32,jmjjmj,4,2,E4
,42,,,Russ2,kimmy314,3,3,E4
,42,,,wmorgan,kimmy314,6,0,E4
,42,,,Lapik32,kubar,5,1,E4
,42,,,wmorgan,kubar,5,1,E4
,42,,,kimmy314,jmjjmj,2,4,E4
,42,,,Russ2,wmorgan,4,2,E4
,42,,,Russ2,jmjjmj,4,2,E4
,42,,,wmorgan,jmjjmj,2,0,E4
,42,,,Russ2,kubar,3,3,E4
,42,,,kimmy314,kubar,5,1,E4
,42,,,wmorgan,jmjjmj,2,2,E4
,42,,,kubar,jmjjmj,1,3,E4
,42,,,jmjjmj,kubar,1,1,E4
,42,,,Minionpawn,S_Smart,1,2,E5
,42,,,Jeb,Minionpawn,5,1,E5
,42,,,Jeb,graceg,4,2,E5
,42,,,S_Smart,Minionpawn,3,0,E5
,42,,,Minionpawn,theschnitz,3.5,2.5,E5
,42,,,UltimateGeek,Jeb,3.5,2.5,E5
,42,,,UltimateGeek,graceg,3.5,2.5,E5
,42,,,UltimateGeek,Minionpawn,3.5,2.5,E5
,42,,,theschnitz,S_Smart,3,1,E5
,42,,,theschnitz,S_Smart,1,1,E5
,42,,,Minionpawn,graceg,4,2,E5
,42,,,theschnitz,UltimateGeek,4,2,E5
,42,,,Jeb,S_Smart,4,2,E5
,42,,,theschnitz,graceg,5,1,E5
,42,,,theschnitz,Jeb,5,1,E5
,42,,,S_Smart,UltimateGeek,5,1,E5
,42,,,S_Smart,graceg,5,1,E5
,42,,,khz,MVP,4,2,E6
,42,,,SSounder,Smelly4_4,4,2,E6
,42,,,khz,SSounder,5,1,E6
,42,,,khz,Smelly4_4,5,1,E6
,42,,,Smelly4_4,heth,2,4,E6
,42,,,khz,The_Yeti,4,2,E6
,42,,,khz,heth,5,1,E6
,42,,,heth,SSounder,5,1,E6
,42,,,Smelly4_4,The_Yeti,3,3,E6
,42,,,SSounder,MVP,3,3,E6
,42,,,heth,MVP,6,0,E6
,42,,,heth,The_Yeti,3,3,E6
,42,,,MVP,Smelly4_4,4,2,E6
,42,,,MVP,The_Yeti,2.5,3.5,E6
,42,,,The_Yeti,SSounder,5,1,E6
,42,,,chesstick,JaCrispyKing,3,3,E7
,42,,,chesstick,DasKommtDavon,4,2,E7
,42,,,JaCrispyKing,TonyWild,4,2,E7
,42,,,DasKommtDavon,namek,2,4,E7
,42,,,mistgun,DasKommtDavon,3,3,E7
,42,,,JaCrispyKing,DasKommtDavon,6,0,E7
,42,,,namek,TonyWild,3,3,E7
,42,,,chesstick,namek,4,2,E7
,42,,,TonyWild,chesstick,3,3,E7
,42,,,mistgun,chesstick,3,3,E7
,42,,,JaCrispyKing,mistgun,5,1,E7
,42,,,DasKommtDavon,TonyWild,4,2,E7
,42,,,namek,JaCrispyKing,2,2,E7
